web-scraper-order,web-scraper-start-url,comment,user,Experience time,score,location,Triptype
1640085363-122,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,Live bluesy music almost every night (closed on Sundays) but invariable it's a cover band playing cheesey rock or blues (official name 'blue cheese?') so if dad rock is your thing head this way.... I could quite easily get smashed on Samsong whiskey and listen to some live guitar but the location is also a let down: it's situated inside the night market - making it feel like an attraction rather than a bar.,Andrew13131313,"July 21, 2016",3,"Seoul, South Korea",Jul 2016 • Solo
1640085363-55,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"The bar is a low key, open rooftop establishment but don’t let this put you off. The service is excellent and our waiter could not have looked after us better. The music is absolutely outstanding. We arrived with Warren from Ice and Earth performing and thoroughly enjoyed his soulful performance of original blues songs. We could have listened to him for hours!! This was followed by the great Boy Blue himself. He specialises in rock blues and demonstrated his remarkable technical competence on the guitar. We had a wonderful time and I would definitely recommend this bar.",Matilda C,"March 17, 2018",5,"Poole, UK",Mar 2018 • Couples
1640085363-211,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,What a delight for blues rock music lovers. I went along with a friend for the Monday night jams sessions and was not disappointed. In fact it was easily one of the best nights amongst Chiang Mai's thriving music scene.,Adam,"July 13, 2015",5,,Jun-15
1640085363-262,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"Stumbled upon this place on my last trip to Chiang Mai and still play back the great vibes in my head. It's easy to find... go to the inside portion of the night bazaar and follow the sound of great guitar licks played with real passion. From Hendrix to John Lee Hooker to Carlos Santanait all gets done with respect and a wide Asian smile. The drinks are reasonable, the atmosphere is pleasant and yes... there is smoking but unlike others have reported it is a bit annoying but the fab music makes up for it. There is a tip box in front of the stage and I encourage you to throw in a respectable amount of baht as the entertainment is first class. The crowd is multicultural and the staff is attentive but not pushy. I don't care where you're from... If you enjoy great blues played by some guys who love music and aren't afraid to show it.. DO NOT miss an evening at this place. Khob Khun Krub Boy - You and the guys Rock!!",Barry F,"March 11, 2015",5,"Bangkok, Thailand",Dec 2014 • Friends
1640085363-12,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,This is a cool bar. Great live music from talented locals. The owner is an awesome guy. Relaxed atmosphere. Drinks prices are very fair. Good location as well.,ntb1,"November 5, 2019",5,"Yellowknife, Canada",Jan-19
1640085363-158,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,great live music by very talented musicians with multiple bands and little rest between - excellent atmosphere and great service at a reasonable price - hard to find at first so just follow the music up the stairs,kiwitripperSydney,"January 21, 2016",5,Sydney,Jan 2016 • Friends
1640085363-344,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"What a show on a Monday evening, Boy with a backup of 10-12 guest musicians, all playing making space and music together. Boy´s sound is just heavenly, his music is warm, happy and electric, the band knows their gig, I find it truly a great spot, to cheer up, feel happy being around people who all love the blues. Boy play lot of great tracks, some of the very best from the blues and rock start. He adds his own finger print being a true artist creating sound on a guitar. The best blues music found in Chiang Mai so far.",IT-Michael,"December 18, 2012",5,Bangkok,Dec 2012 • Couples
1640085363-33,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"We stumbled across this place by accident after hearing some passer by talking about it whilst we were in a different bar. It’s ace, a bluesy busy bar with live bands. By the end of the night everyone was up dancing and we had one of the best nights we have had since being in Thailand. It’s about 90 Bart for a Chang and 140 Bart for a gin and tonic so prices pretty reasonable for a fun place. Hidden away on the second level of the night bizarre. It’s in the indoor market part called kalare night market. U do have to pay to go to the public toilet in the middle of the market but it’s only a short walk away and you get charged 5 Bart for you’re trouble. All in all we had a fab night so thankyou the end band we absolutely awesome played some great tunes :)",wren76,"December 8, 2018",5,"Derby, UK",Dec 2018 • Couples
1640085363-245,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"This guy is seriously entertaining. His cheeky smile is infectious. What I liked most about him though, is his ability to convey his personality through his playing. I chatted with him after the show and he was exactly as I thought he'd be. If you like live music in general you will absolutely love this guy. The support act were pretty damn incredible too. Best night out in Chiang Mai.",Jimmythedogg,"April 28, 2015",5,"Brisbane, Australia",Apr 2015 • Solo
1640085363-138,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"I'll be honest I've watched this bar blossom over the years and the music gets better however the bar this year was a real disappointment. Overpriced spirit, the jack daniels tasted suspiciously like sang son and the g and t very cheap gin. But dont be put off - go and support the local talent and stick to bottled beer.",sue l,"April 29, 2016",4,dar el salamm,Apr 2016 • Solo
1640085363-21,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"As the title of my review says, ""THE BEST LITTLE LIVE MUSIC BAR IN CHIANG MAI!"" sometimes you'll struggle to get a seat here becaude the place is just sooooo good!",NawtyStupot,"May 7, 2019",5,"Brisbane, Australia",May 2019 • Couples
1640085363-101,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"I usually go here a lot when I'm in town. It's changed a bit over last year but still great. They have always had a few rock acts on but now they have some younger bands on, some playing a bit of funk. I think Boy is trying to offer a range of music and give new bands a go.I'm into blues and rock but I must admit to having enjoyed the mix. Some of the bands do a circuit each night, so you may see an act at, say, Bus Bar, and catch them at Boy's later. Prices are up on drinks but still not excessive considering the entertainment. BT 120 for large Leo. BT 100 for red wine. There is a schedule up on the wall at bottom of stairs. Open every night now. Please note midnight closing almost everywhere in CM nowadays. Blame police, not bars.",Kevin M,"January 12, 2017",5,"County Durham, UK",Jan 2017 • Friends
1640085363-153,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,In I hidden spot over the Night Bazaar. We were attracted by the sound and the buzz coming from the bar. Seemed packed with regulars and had a good welcoming vibe. Music was vintage and live and well received by the crowd,Pat M,"February 2, 2016",5,"Dublin, Ireland",Feb 2016 • Couples
1640085363-256,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"A very pleasant place to spend an evening. Boy and his band are very good musicians, and everybody who gets to play knows how to play. Also pleasant space - it is an open balcony on top of Kalare market - so you can listen to the music, sip your bear and watch the activities below. The only small snag is that the blues bar doesn't have its own loo - you have to use the general market toilets, which can get quite bad by the end of the day.",TimO501_13,"March 23, 2015",5,"London, UK",Mar 2015 • Couples
1640085363-134,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"Me and my boyfriend stumbled across this whilst at the night bazaar markets. Very simple and down to earth bar but with so much soul. We weren't expecting too much and therefore had a top night. We ended going back for the past 3 nights. Highly recommend for those looking for a chilled vibe with great atmosphere. No strangers here, just friends we have not yet met!",lctreacy,"May 29, 2016",5,"Manchester, UK",May 2016 • Couples
1640085363-233,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"This is one of those places I only ended up visiting because of tripadvisor, but I'm glad I did. chilling with a few beers and listening to great blues is a great antidote to sightseeing and market traipsing. it's in a strange place, elevated in a kind of crows nest at the top of the covered market, open to the air (but covered from rain). This is good as most cigarette smoke is blown away. unlike many blues venues which seem to be banished to dark basements this one feels fresh and is a great spot for people watching. limited drinks menu (beers and spirits) - get some cocktails on there and it would be heaven!",Jack Nunn,"May 19, 2015",4,"Melbourne, Australia",null
1640085363-18,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,Situated up stairs in the night bazaar..follow the music..the bar offers a great night out with quality musicians. We went on Monday's open mic night..bit of a lottery tbh but still entertaining..and again on a regular evening. The Boy Blues Band are amazing musicians and obviously enjoy what they do. The bar service is very good..the seats aren't the most comfy. Bit of a long haul to the public toilets.,peagreen2015,"July 12, 2019",4,"Province of Malaga, Spain",Jul 2019 • Couples
1640085363-105,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"We have been coming to Chiang Mai on and off for the last 7 years and always look forward to spending time at Boy's. Sensational music every night by very talented musicians, great atmosphere, great service and reasonably priced drinks. The Monday night jam session attracts some serious talent, including many foreigners playing a vast array of instruments. Boy himself is a very fine and accomplished blues guitarist with a very clean sound, commanding stage presence and infectious smile, all backed by a wonderful band that work together perfectly. A trip to Boys is a must for any live music lovers visiting Chiang Mai.",Fergo64,"December 25, 2016",5,"Chiang Mai, Thailand",Dec 2016 • Friends
1640085363-130,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"Chiangmai is famous for being an artsy town, but it's pretty hard to expect it when ur walking down night bazaar. Then out of the blue, this place appears. Perching on top and in the middle of the nite bazaar, hard to find but worth the find, just follow the music. Your evening will be worth it and it will be a unique memory in Chiangmai. Recommend for those who like great blue music fm this very cool band.",Ruedee E,"June 11, 2016",5,,Jun 2016 • Friends
1640085363-159,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,Really entertaining night with some great musicians. If you play an instrument you'll fit in and can get up jamming. If you're in Chiang mai please go down to boys blues bar.,Greg G,"January 17, 2016",5,,Jan 2016 • Couples
1640085363-183,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,This tiny little upstairs bar is awsome. The music is mellow & makes for a fantastic evening. Located close to the night Bazaar at the rear of the Babylonian Restaurant. Just follow the cool music & you'll end up here! The electric guitar playing was truely awsome & the guy can certainly play. He doesn't just play he puts on a show & has a beaming smile. . I had to buy the band a round of drinks they were sooooo good. This place is well worth a visit if you want a chilled out evening with fantastic sounds.,NawtyStupot,"September 30, 2015",5,"Brisbane, Australia",Sep 2015 • Friends
1640085363-314,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"We were there two nights to relax after a long day and some night-bazaaring. Great to hang out, Boy always had his smile on and never seems to get tired of playing and entertaining. Staff is very friendly, owners always open for a chat. Ask them about the open stage nights (mondays?), if you like to play yourself. Had a special night with guest players Ron (harmonica) and Nick (drums), unforgettable!",elgrandemikaele,"February 7, 2014",5,"Bad Aibling, Germany",null
1640085363-155,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"We stumbled on this bar on our first night in Chiang Mai, having eaten in Sila Aat in the Night Bazaar. The band was entertaining. Great musicians. We returned twice more. Unfortunately the weather had turned cold so we didn't stay long on the second occasion but on our last night we spent a few hours enjoying 2 bands. Great atmosphere.",Susan-Ash,"January 27, 2016",5,"Ashington, UK",Jan 2016 • Couples
1640085363-244,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"This was another gem we found following people's reviews on trip advisor, after going for dinner in the market downstairs we spotted a sign to this bar having recognised the name from the reviews on here we went upstairs and were not disappointed. We went on a Monday night which was open mic which can always be risky however the music was great with amazing musicians including boy blue himself. We ended up staying the whole night- best nights entertainment we have had in Thailand so far! As it is a bar you are not charged to go watch just buy a drink.",lucinda_a_1,"April 28, 2015",5,,Apr 2015 • Couples
1640085363-235,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"Went there on Monday and it was open mic session, everyone was having so much fun with fantastic blues. Drinks was cheap as well.",Jing Q,"May 13, 2015",5,,May 2015 • Couples
1640085363-278,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"Great atmosphere, cheap drinks. We went the first time at the open night, the place was packed, had a blast. Then went there every night we were in Chiang Mai.",Ali D,"November 24, 2014",5,,null
1640085363-216,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"My wife and I met Boy last year while traveling and his club was amazing. We came back again this year and found it even better. Boy usually has 2 sets, one band until 9:15, and afterwards Boy himself plays the blues until midnight. Boy is one of those gifted people that can play a guitar like he was born with it. He often has musicians in the audience come up and jam, but the amazing part is that it comes together like he has been playing with them for years. You can see boy every night, and every night is just a little different in his guitar playing, he improvises upon his mindset that night. All-in-all, you're certainly in for a great evening of blues that you'll be hard pressed to beat. If you are in Chiang Mai, I recommend you don't miss out on Boy Blues Bar.",Robert D,"July 4, 2015",5,"Tampa, FL",Jul 2015 • Couples
1640085363-331,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"Amazing house band, the lead guitarist may just be one of the best reincarnations of Hendrix around! His stage persona is incredible. We were lucky enough to have some additional musos add some great brass to the experience. Really relaxed bar, great drinks and vibe.",Growmorebeard,"September 8, 2013",4,"Brisbane, Australia",Sep 2013 • Friends
1640085363-234,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"I planned on listening to 3 songs and then heading out. The bands were amazing, 2.5 hours later I headed out when the bar closed down. It was so mesmerizing that I did not even realize that I missed dinner. Even if you do not actually go to the bar, the music will float through the air and lift your spirits while you are in the Kalare Night Market.",Mai S,"May 14, 2015",5,,null
1640085363-11,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"First of all, who doesn't love great live music in a cool bar? I have been to some very good music venues in Chicago, New York, California and Seattle/Portland. Great music venues can be difficult to find in Thailand with any songs you might recognize from the classic rock and blues era. Boy Blues Bar in Chiang Mai is a true gem! It is the perfect blend of Thai and expat 'farang' musicians who live in Chiang Mai. The Monday night jam night was incredible. There were about a dozen different musicians and they were all very good. The house drummer would give Mitch Mitchell of the Jimi Hendrix band a run for his money! Yes, he was that good! Boy, the owner and lead guitar player, is an awesome guy, and he's got some serious chops on electric guitar. He is probably one of the best blues/rock guitar players in Thailand! He sings very well too. We liked Boy Blues Bar so much we returned for 2 more nights. We went there 3 times in 7 nights. No other music venue in Chiang Mai came close to as good. The bar is covered by a giant roof but it is open to the night air. Chiang Mai is cool at night and fresh air in a bar is nice. Feels like you are outside but still protected from rain. The night market is next door. Great night..eat at and explore the night market and then go to Boy Blues Bar around 8:30pm. Music starts up shortly after. If you are in a large group, get there earlier so you can find seats. The place fills up quickly by 9pm.",Bill C,"November 5, 2019",5,"Bellingham, WA",Jan-19
1640085363-175,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"We found this place on our 2nd and last week of our holiday and went 4 times. It is absolutely fabulous!! Boy and his boys are the best - they played Santana, Hendrix, and so much more. Open night on a Monday night is also a blast. If you have an instrument or can sing, go along and enjoy. We loved the Indian guy who sang ""I'm coming"" he held the audience in his hand and apparently is there every Monday night. After a couple of AU$2 rum & cokes we were rocking the night away with the friendly staff and met some people from far away places.",BeachComber001,"November 2, 2015",5,"Brisbane, Australia",Oct 2015 • Friends
1640085363-260,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"Been to Chiang Mai many times but had never visited this place before. Finally found it, and was amazed at the quality of the Musicians! As well as a normal week night, I attended the Open Jam Monday Night on two occasions. The standard was awesome, this wasn't some bad karaoke, rather talented muso's from around the World, who were in CM at the time. It was very busy, but the Service was fast and friendly, and beer prices very reasonable. Great Entertainment!",pommyleigh,"March 16, 2015",5,"Hervey Bay, Australia",Feb 2015 • Solo
1640085363-5,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"We stopped by to enjoy a beer with some live music and ended up staying all night! The quality of the bands that played were unbelievable!!! Cool setting too, overlooking the market. A nice change from the usual smokey basement that blues bars are usually found in.",Muz,"January 3, 2020",5,"Brighton, UK",Jan 2020 • Couples
1640085363-279,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"If you like American blues you will love this place and Boy Blues Band. He is an excellent guitar player with style similar to Santana, Hendrix and Howling Wolf that he has made his own. A blues fan will be in heaven.",norcalgirl,"November 14, 2014",5,"Sunnyvale, CA",Nov-14
1640085363-241,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"If you love blues and chilling with friends, this is the spot for you. It definitely offers top talent and the prices are great. Free entry and you just pay for your drinks while being entertained. I'll definitely be returning here, over and over! Great job guys!",TheunisBotha,"April 29, 2015",5,"Johannesburg, South Africa",null
1640085363-230,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"We stumbled upon Boy Blues Bar whilst exploring the night Bazaar and were instantly mesmerized by the quality of music being played. Classic blues including epics like 'Voodoo Child' from Hendrix were being cranked out exceptionally well! We returned the next night for a bender and had the time of our lives! I recommend this place to everyone,great service and entertainment.",Brudley87,"May 23, 2015",5,"Wellington, New Zealand",null
1640085363-283,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"What a lovely evening! I was humming all the way back to the hotel! Boy Blues Bar is situated in the Kalare Night Bazaar on Changkuan Rd. After searching for a venue with live music & reading the reviews on TA, I made a note & we got to the bazaar at 18h30. Boy Blues only opens at 20h00 so we went & had a dinner at place literally below the bar. Very reasonably priced & good food. At 20h00 we went to the bar with the intention of having a few drinks only. We ended up staying till the end. They had 2 bands playing & a lady singer who did a few numbers. All were brilliant & you just cannot leave! What a great evening out! Do yourself a favour & make a point of going.",Laurice P,"October 28, 2014",5,"Pretoria, South Africa",Oct 2014 • Friends
1640085363-119,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"To be found on a central mezzanine floor in one of the night bazaars. Great live music from about 21.00. On average 3 bands a night. One normally contains Boy himself. Lead guitar & vocals. Monday is Jam Night. Never been disappointed. Some real characters from all over the world. If you love your blues/rock, you'll love this place. No food, but really reasonably priced drinks. Pay as you go. No tabs. Closed on Sundays.",Richard S,"August 24, 2016",5,"Guildford, UK",Aug 2016 • Solo
1640085363-210,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"A good blues and 60s pop cover band, while sipping some beerlao dark. The overall vibe at this place above the nightbazaar was great.",Lio G,"July 13, 2015",5,"Amsterdam, The Netherlands",Jun 2015 • Couples
1640085363-60,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,We had to search around for this as google maps was not helpful. It's actually inside the main night market pavilion. Saw 2 of the 3 bands playing - both excellent. Boy's band was fantastic- great mix of well known and some of their own numbers. Great guitar playing and keyboard player pretty awesome. Beer is reasonably priced and great atmosphere. A must if you're into blues and have time to spare when in Chiangmai.,Prof1Cheshire,"February 19, 2018",5,"Huddersfield, UK",Feb-18
1640085363-8,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"Great live music,we went twice!both time 3 different bands high standard,.cheapish drinks but funny,uncomfable chairs.",wilsons,"November 21, 2019",4,"Leigh-on Sea, UK",Nov-19
1640085363-251,https://www.tripadvisor.com/Attraction_Review-g293917-d2577827-Reviews-Boy_Blues_Bar-Chiang_Mai.html,"Read some of the lower reviews and can see their point. Didn't have smoke problems as it wasn't too busy. The band was ok but not great singing and we sat on stools at the bar which looked the best option. The 4 of us were about to leave but lucky for us we stayed for 1 more beer and ""Boy"" turned up about 9pm with a different bass guitarist and drummer. Can only say they were absolutely fantastic and it was well worth the wait. ""Boy"" was the best guitarist I have heard ever and I'm getting on a bit! Looked like he lived for playing and his enjoyment spread through the bar. Also had a accompanying lady singer for some of the numbers and she was also very good. Not too easy to find but once in the market you can just follow the sounds to the upstairs bar. Go for it, you wont regret it!",BOBSKIS,"April 11, 2015",5,ESSEX,Apr 2015 • Friends
