"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12","Column13","Column14","Column15","Column16","Column17","Column18","Column19","Column20","Column21","Column22","Column23","Column24","Column25","Column26","Column27"
"ENC","AIW","2","2-February-2022","4:00:00 PM","ASLB2022Spring","Indonesia","Riktor","Aoi","Iggy","TheJoker","Arum","17:32","Xeniel","Hayate","Liliana","Qi","Yena","Lumburr","Annette","Mina","Kriknak","3","Keera","WonderWoman","Aya","Lorion"
"4th","FastONE","1","2-February-2022","5:30:00 PM","ASLB2022Spring","Indonesia","Omen","Eland'orr","Liliana","Slimz","Lumburr","17:21","Tachi","Violet","Tulen","Keera","Riktor","Hayate","Annette","Mina","Krixi","1","Errol","Qi","Aya","Florentino"
"4th","FastONE","2","2-February-2022","5:30:00 PM","ASLB2022Spring","Indonesia","Florentino","Aoi","Ilumia","Hayate","Tachi","16:29","WonderWoman","Slimz","Lorion","LuBu","Airi","Lumburr","Annette","Eland'orr","Qi","2","Keera","Krixi","Tulen","Aya"
"4th","FastONE","1","2-February-2022","5:30:00 PM","ASLB2022Spring","Indonesia","Ryoma","Tulen","Annette","Laville","Roxie","19:22","Thane","Elsu","Liliana","Aoi","Zuka","Lumburr","Hayate","Omen","Florentino","3","Qi","Airi","Lorion","Aya"
"TP","Hertz","2","2-February-2022","7:00:00 PM","ASLB2022Spring","Indonesia","Tachi","Errol","Ilumia","Hayate","Tachi","13:26","Enzo","Tulen","Zata","Butterfly","Bright","Aya","TheJoker","Baldum","Alice","1","Keera","Omen","Lumburr","Lorion"
"TP","Hertz","2","2-February-2022","7:00:00 PM","ASLB2022Spring","Indonesia","Qi","Veres","Aleister","Slimz","Lumburr","22:11","Violet","Preyta","Tachi","Nakroth","Arthur","Hayate","Annette","Krixi","Liliana","2","Omen","Florentino","Aya","Lorion"
"FastONE","TP","2","3-February-2022","4:00:00 PM","ASLB2022Spring","Indonesia","Riktor","Airi","Liliana","Hayate","Cresht","14:22","Lumburr","TheJoker","Annette","LuBu","Yena","Aya","Lorion","Omen","Kriknak","1","Keera","Aoi","Krixi","Tulen"
"FastONE","TP","1","3-February-2022","4:00:00 PM","ASLB2022Spring","Indonesia","WonderWoman","Aoi","Lorion","Yorn","Tachi","16:43","Roxie","Eland'orr","Paine","Tulen","Florentino","Hayate","Aya","Thane","Rouie","2","Zuka","TheJoker","Annette","Lumburr"
"FastONE","TP","2","3-February-2022","4:00:00 PM","ASLB2022Spring","Indonesia","Arthur","Veres","Ignis","Laville","Baldum","10:51","WonderWoman","Slimz","Lorion","Butterfly","Omen","Aya","Hayate","Tachi","Errol","3","Keera","Florentino","Tulen","Lumburr"
"AIW","4th","2","3-February-2022","5:30:00 PM","ASLB2022Spring","Indonesia","Arthur","Qi","Liliana","Capheny","Lumburr","19:10","Tachi","Laville","Lorion","Errol","Omen","Florentino","Hayate","Keera","Eland'orr","1","Nakroth","Mina","Tulen","Aya"
"AIW","4th","1","3-February-2022","5:30:00 PM","ASLB2022Spring","Indonesia","Omen","Kriknak","Krixi","Laville","WonderWoman","22:23","Lumburr","Slimz","Liliana","Tulen","Airi","Aya","Hayate","Florentino","Yena","2","Nakroth","Eland'orr","TheJoker","Lorion"
"AIW","4th","1","3-February-2022","5:30:00 PM","ASLB2022Spring","Indonesia","Yena","Aoi","Tulen","Slimz","Xeniel","23:36","Roxie","Moren","Lauriel","Veres","Qi","Aya","Florentino","Keera","Krixi","3","Eland'orr","Nakroth","Lorion","Hayate"
"NS","ENC","1","3-February-2022","7:00:00 PM","ASLB2022Spring","Indonesia","Omen","Veres","Iggy","Hayate","Alice","22:14","Annette","TheJoker","Liliana","Errol","Tachi","Aya","Lumburr","Mina","Roxie","1","Keera","Paine","Tulen","Aoi"
"NS","ENC","1","3-February-2022","7:00:00 PM","ASLB2022Spring","Indonesia","Skud","Keera","Lorion","Capheny","Baldum","21:48","Mina","Slimz","Krixi","Qi","Yena","Aya","Lumburr","Omen","Kriknak","2","Krizzix","Peura","Tulen","Aoi"
"TP","AIW","2","4-February-2022","5:30:00 PM","ASLB2022Spring","Indonesia","Qi","LuBu","Krixi","Slimz","Lumburr","18:38","Omen","Slimz","Veera","Quillen","Florentino","Aya","Tulen","Aoi","Nakroth","1","Keera","Errol","Lorion","Hayate"
"TP","AIW","1","4-February-2022","5:30:00 PM","ASLB2022Spring","Indonesia","Omen","Butterfly","Lorion","Hayate","WonderWoman","11:33","Riktor","Lindis","Ilumia","Airi","Allain","Lumburr","Slimz","Yena","Aoi","2","Keera","Kriknak","Aya","Errol"
"TP","AIW","2","4-February-2022","5:30:00 PM","ASLB2022Spring","Indonesia","Florentino","Errol","Annette","TheJoker","Yena","16:31","WonderWoman","Laville","Lorion","Qi","Tachi","Lumburr","Hayate","Aoi","Nakroth","3","Liliana","Capheny","Tulen","Aya"
"Hertz","FastONE","1","4-February-2022","7:00:00 PM","ASLB2022Spring","Indonesia","Tachi","Sinestrea","Lauriel","Dextra","Tachi","14:38","Lumburr","Slimz","Krixi","LuBu","Airi","Lorion","Hayate","Florentino","Eland'orr","1","Laville","Omen","Tulen","Aya"
"Hertz","FastONE","1","4-February-2022","7:00:00 PM","ASLB2022Spring","Indonesia","Ormarr","Volkath","Valhein","WonderWoman","Krixi","16:37","Grakk","Lindis","Veera","Bright","Zuka","Lorion","Aya","Omen","Florentino","2","Keera","Aoi","Tulen","Hayate"
"DWU","ArchA","1","23-February-2022","4:00:00 PM","ASL2022Spring","Indonesia","Tachi","Butterfly","Lorion","Wisp","Zip","12:32","Thane","Laville","Yue","Qi","Skud","Florentino","Omen","Superman","LuBu","1","Veres","Yena","Lumburr","Aya"
"DWU","ArchA","1","23-February-2022","4:00:00 PM","ASL2022Spring","Indonesia","Omen","Tulen","Krixi","TheJoker","Krizzix","21:26","Roxie","Hayate","Liliana","Paine","Errol","Yue","Elsu","Mina","Keera","2","Alice","Lumburr","Aoi","Yue"
"Hertz","AIW","2","23-February-2022","6:00:00 PM","ASL2022Spring","Indonesia","Yena","Keera","Tulen","Hayate","Tachi","23:00","WonderWoman","Laville","Krixi","Nakroth","Skud","Florentino","Lorion","Aoi","Omen","1","Mina","Liliana","Aya","Yue"
"Hertz","AIW","1","23-February-2022","6:00:00 PM","ASL2022Spring","Indonesia","Airi","Eland'orr","Liliana","Laville","Omen","12:15","Thane","Hayate","Lorion","Qi","Florentino","Aya","Yue","Mina","Tulen","2","Roxie","Aoi","WonderWoman","Krixi"
"Hertz","AIW","2","23-February-2022","6:00:00 PM","ASL2022Spring","Indonesia","Skud","LuBu","Lorion","Capheny","Mina","14:27","Roxie","Slimz","Tulen","Kriknak","Yena","Liliana","Eland'orr","Tachi","Keera","3","Butterfly","Aoi","Aya","Yue"
"NS","DG","2","23-February-2022","8:00:00 PM","ASL2022Spring","Indonesia","Tachi","Eland'orr","Ilumia","Slimz","Lumburr","13:49","WonderWoman","Hayate","Lorion","Butterfly","Omen","Yue","Tulen","Aoi","Paine","1","Laville","Mina","Aya","Florentino"
"NS","DG","2","23-February-2022","8:00:00 PM","ASL2022Spring","Indonesia","Florentino","Aoi","Iggy","Hayate","Baldum","16:20","Roxie","Laville","Raz","Qi","Superman","Aya","Tulen","Liliana","Annette","2","Mina","Yue","Lorion","Omen"
"DG","DWU","2","24-February-2022","4:00:00 PM","ASL2022Spring","Indonesia","Mina","Qi","Yue","Hayate","Ormarr","13:58","Zip","Laville","Lorion","Tulen","Tachi","Omen","Florentino","Butterfly","Eland'orr","1","Aoi","Veres","Elsu","Aya"
"DG","DWU","2","24-February-2022","4:00:00 PM","ASL2022Spring","Indonesia","Max","Eland'orr","Krixi","Tachi","Amily","13:42","Omen","Slimz","Liliana","Wukong","Murad","Aya","Hayate","Butterfly","Paine","2","Ryoma","Florentino","Laville","Elsu"
"AIW","NS","1","24-February-2022","6:00:00 PM","ASL2022Spring","Indonesia","Tachi","Qi","Yue","Laville","Thane","16:26","Lumburr","Hayate","Liliana","LuBu","Omen","Florentino","Aoi","Keera","Eland'orr","1","Kriknak","Mina","Lorion","Aya"
"AIW","NS","1","24-February-2022","6:00:00 PM","ASL2022Spring","Indonesia","Skud","Eland'orr","Krixi","Slimz","WonderWoman","15:49","Baldum","Violet","Lorion","Paine","Florentino","Aya","Aoi","Mina","Roxie","2","Yena","Nakroth","Omen","Hayate"
"ArchA","Hertz","1","24-February-2022","8:00:00 PM","ASL2022Spring","Indonesia","Amily","Tulen","Lorion","Hayate","Lumburr","16:29","Roxie","Slimz","Liliana","Aoi","Yena","Omen","Superman","Laville","Capheny","1","LuBu","Qi","Yue","Aya"
"ArchA","Hertz","1","24-February-2022","8:00:00 PM","ASL2022Spring","Indonesia","Florentino","Nakroth","Yue","Elsu","WonderWoman","14:45","Tachi","Laville","Lorion","Keera","Omen","Aya","Hayate","Tulen","Qi","2","Aoi","Eland'orr","Mina","Zip"
"DWU","Hertz","1","25-February-2022","4:00:00 PM","ASL2022Spring","Indonesia","Murad","LuBu","Tulen","Laville","Zip","10:46","Lumburr","Slimz","Lorion","Tachi","Superman","Omen","Roxie","Eland'orr","Keera","1","Florentino","Yena","Aya","Yue"
"DWU","Hertz","1","25-February-2022","4:00:00 PM","ASL2022Spring","Indonesia","Bright","Nakroth","Krixi","Zuka","Krizzix","13:06","Alice","Wukong","Ignis","Keera","Florentino","Aya","Elsu","Laville","TheJoker","2","Hayate","Omen","Yue","Lorion"
"DG","AIW","1","25-February-2022","6:00:00 PM","ASL2022Spring","Indonesia","Airi","Aoi","Yue","Capheny","Lumburr","14:16","WonderWoman","Hayate","Lorion","Eland'orr","Tachi","Omen","Elsu","Keera","Nakroth","1","Amily","Ormarr","Florentino","Aya"
"DG","AIW","1","25-February-2022","6:00:00 PM","ASL2022Spring","Indonesia","Superman","Keera","Liliana","Laville","Roxie","25:31","Thane","Slimz","Yue","Nakroth","Skud","Aya","Tulen","Mina","Aoi","2","Krixi","Krixi","Omen","Lorion"
"NS","ArchA","2","25-February-2022","8:00:00 PM","ASL2022Spring","Indonesia","Mina","Kriknak","Iggy","Hayate","Rouie","14:26","Lumburr","Laville","Krixi","Tulen","Superman","Florentino","Yue","Tachi","Liliana","1","Aoi","Aoi","Lorion","Aya"
"NS","ArchA","2","25-February-2022","8:00:00 PM","ASL2022Spring","Indonesia","Roxie","Veres","Lauriel","Violet","Baldum","11:40","Aya","Hayate","Liliana","Wisp","Omen","Florentino","Yue","Eland'orr","Aoi","2","Laville","TheJoker","Tulen","Lumburr"
"ArchA","DG","2","2-March-2022","4:00:00 PM","ASL2022Spring","Indonesia","Yena","LuBu","Yue","Hayate","Lumburr","14:45","WonderWoman","Laville","Iggy","Aoi","Amily","Omen","Lorion","Alice","Superman","1","Keera","Qi","Tulen","Aya"
"ArchA","DG","1","2-March-2022","4:00:00 PM","ASL2022Spring","Indonesia","Omen","Keera","Krixi","Laville","Krizzix","25:02","Superman","Capheny","Lorion","Qi","Florentino","Aya","Yue","Mina","Zip","2","Kriknak","Aoi","Roxie","Tulen"
"ArchA","DG","1","2-March-2022","4:00:00 PM","ASL2022Spring","Indonesia","Mina","Nakroth","Iggy","Tel'Annas","Zip","14:24","Roxie","TheJoker","Krixi","Eland'orr","Yena","Aya","Omen","Airi","Hayate","3","Qi","Slimz","Violet","Tulen"
"Hertz","NS","1","2-March-2022","6:00:00 PM","ASL2022Spring","Indonesia","Omen","Veres","Liliana","Hayate","WonderWoman","12:41","Mina","Slimz","Iggy","Tulen","Qi","Aya","Florentino","Krixi","Aoi","1","Kriknak","Keera","Yue","Lumburr"
"Hertz","NS","1","2-March-2022","6:00:00 PM","ASL2022Spring","Indonesia","Tachi","Qi","Yue","Laville","Roxie","15:21","Lumburr","Wisp","Liliana","Aoi","Superman","Omen","Florentino","Capheny","Hayate","2","Eland'orr","Airi","Lorion","Aya"
"AIW","DWU","2","2-March-2022","8:00:00 PM","ASL2022Spring","Indonesia","Yena","Nakroth","Lorion","Slimz","WonderWoman","23:26","Xeniel","Elsu","Tulen","Florentino","Riktor","Omen","Liliana","Roxie","Krixi","1","Keera","Eland'orr","Laville","Aya"
"AIW","DWU","2","2-March-2022","8:00:00 PM","ASL2022Spring","Indonesia","Tachi","LuBu","Liliana","Laville","Baldum","18:50","Zip","Capheny","Lorion","Veres","Ryoma","Aya","Hayate","Airi","Eland'orr","2","Roxie","Mina","Florentino","Omen"
"DG","Hertz","1","3-March-2022","4:00:00 PM","ASL2022Spring","Indonesia","Amily","Butterfly","Lorion","Hayate","Mina","19:11","Omen","Slimz","Liliana","Kriknak","Florentino","Tulen","Tachi","Airi","Keera","1","Aoi","Eland'orr","Yue","Aya"
"DG","Hertz","1","3-March-2022","4:00:00 PM","ASL2022Spring","Indonesia","Yena","Aoi","Yue","Laville","Veres","12:07","Lumburr","Capheny","Krixi","Qi","Roxie","Aya","Hayate","Eland'orr","Tachi","2","Tulen","Keera","WonderWoman","Omen"
"DWU","NS","1","3-March-2022","5:30:00 PM","ASL2022Spring","Indonesia","WonderWoman","Volkath","Lorion","Tel'Annas","Zip","09:58","Alice","Hayate","Riktor","Tulen","Amily","Florentino","Omen","Skud","Yena","1","Keera","Tachi","Aya","Yue"
"DWU","NS","1","3-March-2022","5:30:00 PM","ASL2022Spring","Indonesia","Murad","Sinestrea","Liliana","Laville","Omen","14:21","Krizzix","Violet","DiaoChan","Volkath","Florentino","Aya","Lorion","TheJoker","Aoi","2","Paine","Eland'orr","Yue","Hayate"
"AIW","ArchA","2","3-March-2022","6:40:00 PM","ASL2022Spring","Indonesia","Yena","Eland'orr","Lorion","Laville","WonderWoman","13:57","Roxie","Hayate","Iggy","Tulen","Airi","Omen","Liliana","Florentino","Krixi","1","Nakroth","Keera","Yue","Aya"
"AIW","ArchA","2","3-March-2022","6:40:00 PM","ASL2022Spring","Indonesia","Skud","Florentino","Iggy","Hayate","Roxie","25:26","Lumburr","Laville","Yue","Aoi","Qi","Aya","Lorion","Eland'orr","Keera","2","Tachi","Nakroth","Tulen","Omen"
"DG","NS","1","9-March-2022","4:00:00 PM","ASL2022Spring","Indonesia","Yena","Aoi","Lorion","Laville","Ormarr","14:59","Krizzix","Hayate","Krixi","Paine","Superman","Omen","Florentino","Kriknak","Qi","1","Lumburr","Roxie","Aya","Yue"
"DG","NS","1","9-March-2022","4:00:00 PM","ASL2022Spring","Indonesia","Ryoma","Eland'orr","Liliana","Florentino","Tachi","09:23","Baldum","Violet","Zata","Keera","Riktor","Aya","Yue","Lorion","Ilumia","2","Superman","Volkath","Hayate","Omen"
"AIW","Hertz","2","9-March-2022","6:00:00 PM","ASL2022Spring","Indonesia","Skud","Kriknak","Lorion","Laville","Roxie","23:50","WonderWoman","Hayate","Zata","Tulen","Airi","Omen","Liliana","Eland'orr","Keera","1","Aoi","Nakroth","Yue","Aya"
"AIW","Hertz","2","9-March-2022","6:00:00 PM","ASL2022Spring","Indonesia","Yena","Florentino","Liliana","TheJoker","Xeniel","18:17","Tachi","Slimz","Lorion","Nakroth","Qi","Aya","Yue","Laville","Baldum","2","Aoi","Eland'orr","Hayate","Omen"
"ArchA","DWU","2","9-March-2022","8:00:00 PM","ASL2022Spring","Indonesia","Zuka","Keera","Tulen","Laville","Lumburr","13:21","Krizzix","Moren","Krixi","LuBu","Florentino","Omen","Lorion","Kriknak","Hayate","1","Yena","Eland'orr","Yue","Aya"
"ArchA","DWU","1","9-March-2022","8:00:00 PM","ASL2022Spring","Indonesia","Yena","Nakroth","Lorion","Slimz","Mina","16:57","Lumburr","Hayate","Yue","Tulen","Veres","Aya","Zip","Laville","Capheny","2","Aoi","Skud","Florentino","Omen"
"ArchA","DWU","2","9-March-2022","8:00:00 PM","ASL2022Spring","Indonesia","Superman","LuBu","Liliana","TheJoker","Roxie","19:13","Tachi","Elsu","Iggy","Keera","Yena","Lorion","Mina","Laville","Skud","3","Aoi","Eland'orr","Omen","Aya"
"Hertz","ArchA","2","10-March-2022","4:00:00 PM","ASL2022Spring","Indonesia","Qi","Veres","Yue","Laville","WonderWoman","11:24","Tachi","Slimz","Iggy","Kriknak","Skud","Omen","Hayate","Elsu","Eland'orr","1","Tulen","Florentino","Lorion","Aya"
"Hertz","ArchA","2","10-March-2022","4:00:00 PM","ASL2022Spring","Indonesia","Riktor","Butterfly","Liliana","Hayate","Tachi","09:27","Peura","Tel'Annas","Lorion","LuBu","Yena","Aya","Yue","Aoi","Eland'orr","2","Keera","Superman","Tulen","Omen"
"NS","AIW","2","10-March-2022","6:00:00 PM","ASL2022Spring","Indonesia","Omen","Kriknak","Ilumia","Violet","Lumburr","17:59","WonderWoman","Hayate","Tulen","LuBu","Mina","Yue","Liliana","Florentino","Aoi","1","Baldum","Krixi","Lorion","Aya"
"NS","AIW","1","10-March-2022","6:00:00 PM","ASL2022Spring","Indonesia","Veres","Qi","Krixi","Slimz","Grakk","13:18","Xeniel","Laville","Lorion","Nakroth","Volkath","Aya","Yue","Florentino","Omen","2","Krizzix","Baldum","Liliana","Hayate"
"NS","AIW","2","10-March-2022","6:00:00 PM","ASL2022Spring","Indonesia","LuBu","Aoi","Yue","Wisp","Baldum","25:28","Lumburr","Slimz","Iggy","Butterfly","Skud","Liliana","Omen","Qi","Eland'orr","3","Hayate","Florentino","Lorion","Aya"
"DWU","DG","1","10-March-2022","8:00:00 PM","ASL2022Spring","Indonesia","Murad","Tachi","Yue","Laville","Lumburr","22:54","Mina","Hayate","Iggy","Nakroth","Superman","Omen","Florentino","Slimz","Aoi","1","Yena","Eland'orr","Lorion","Aya"
"DWU","DG","2","10-March-2022","8:00:00 PM","ASL2022Spring","Indonesia","Airi","Yena","Krixi","TheJoker","Roxie","16:58","Peura","Capheny","Lorion","Skud","Florentino","Aya","Yue","Keera","LuBu","2","Tulen","Eland'orr","Hayate","Omen"
"DWU","DG","1","10-March-2022","8:00:00 PM","ASL2022Spring","Indonesia","Omen","LuBu","Iggy","Slimz","Mina","21:55","Grakk","Laville","Liliana","Veres","Roxie","Aya","Yue","Eland'orr","Aoi","3","Zip","Keera","Lorion","Hayate"
"ArchA","NS","1","11-March-2022","4:00:00 PM","ASL2022Spring","Indonesia","Superman","Nakroth","Ilumia","Hayate","Lumburr","13:36","Gildur","Elsu","Iggy","Eland'orr","Zuka","Omen","Tulen","Aoi","Yena","1","Florentino","Volkath","Aya","Yue"
"ArchA","NS","1","11-March-2022","4:00:00 PM","ASL2022Spring","Indonesia","Riktor","Ryoma","Lauriel","Elsu","Peura","22:51","Mina","Hayate","Krixi","Tulen","Veres","Aya","Lorion","Alice","Aoi","2","Eland'orr","Kriknak","Liliana","Yue"
