Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
STMN,HKS,2,4/24/2022,10:00:00 PM,AIC2022Europe,Europe,Omen,Murad,Lorion,Elsu,Baldum,24:58,Lumburr,Hayate,Krixi,Kil'Groth,Ata,Yue,Mina,Florentino,Skud,2,Eland'orr,Keera,Liliana,Aya,
CDAX,HKS,2,4/30/2022,10:00:00 PM,AIC2022Europe,Europe,Qi,Paine,Yue,Tel'Annas,Tachi,16:02,Lumburr,Hayate,Iggy,Keera,Yena,Mina,Florentino,Aoi,Volkath,1,Laville,Elsu,Omen,Aya,
CDAX,HKS,1,4/30/2022,10:00:00 PM,AIC2022Europe,Europe,Omen,Volkath,Lorion,Capheny,Lumburr,16:25,Ormarr,Slimz,Krixi,Nakroth,Ata,Yue,Liliana,Aoi,Mina,2,Laville,Hayate,Florentino,Aya,
CDAX,HKS,2,4/30/2022,10:00:00 PM,AIC2022Europe,Europe,Airi,Veres,Preyta,Thorne,Baldum,11:37,Mina,Capheny,Liliana,Volkath,Florentino,Aya,Lorion,Laville,Elsu,3,Slimz,Hayate,Iggy,Krixi,
CDAX,HKS,2,4/30/2022,10:00:00 PM,AIC2022Europe,Europe,Florentino,Fennik,Krixi,Xeniel,Thane,12:25,Baldum,Laville,Ilumia,Eland'orr,Ryoma,Lorion,Yue,Aoi,Airi,4,Keera,Wisp,Liliana,Aya,
Nova,QLASH,1,5/1/2022,1:00:00 AM,AIC2022Europe,Europe,Richter,Skud,Lorion,Wisp,Veres,10:26,Lumburr,Violet,Liliana,Volkath,Florentino,Mina,Hayate,Laville,Slimz,1,Keera,Aoi,Aya,Omen,
Nova,QLASH,1,5/1/2022,1:00:00 AM,AIC2022Europe,Europe,Superman,Aoi,Liliana,Slimz,Annette,13:15,Thane,Elsu,Lorion,Nakroth,Richter,Aya,Omen,Paine,Veres,2,TheJoker,Hayate,Florentino,Mina,
Nova,QLASH,1,5/1/2022,1:00:00 AM,AIC2022Europe,Europe,Tachi,Yena,Yue,Hayate,Lumburr,13:57,Grakk,Valhein,Kahlii,Aoi,Ormarr,Aya,Omen,Batman,Wukong,3,WonderWoman,Volkath,Thorne,Florentino,
HKS,Nova,2,5/2/2022,1:00:00 AM,AIC2022Europe,Europe,Yena,Eland'orr,Krixi,Capheny,Baldum,11:31,Thane,Hayate,Lorion,Paine,Richter,Aya,Omen,Aoi,Tachi,1,Elsu,Laville,Florentino,Mina,
HKS,Nova,2,5/2/2022,1:00:00 AM,AIC2022Europe,Europe,Ryoma,Skud,Lorion,Tel'Annas,Lumburr,12:05,Tachi,Slimz,Yue,Keera,Yena,Mina,Florentino,Aoi,Kriknak,2,Laville,Hayate,Omen,Aya,
HKS,Nova,1,5/2/2022,1:00:00 AM,AIC2022Europe,Europe,Florentino,Volkath,Liliana,Slimz,Alice,16:14,Baldum,Tel'Annas,Annette,Errol,Zuka,Krixi,Iggy,Aoi,Skud,3,Elsu,Hayate,Omen,Aya,
HKS,Nova,2,5/2/2022,1:00:00 AM,AIC2022Europe,Europe,Amily,Zuka,Ilumia,Hayate,Thane,10:50,Veres,Wisp,Liliana,Skud,Qi,Aya,Omen,Aoi,Kriknak,4,Nakroth,Keera,Mina,Yue,
HKS,Nova,2,5/2/2022,1:00:00 AM,AIC2022Europe,Europe,Richter,Sinestrea,Raz,Laville,Y'bneth,09:57,Arum,Thorne,Iggy,Aoi,Airi,Mina,Krixi,Lumburr,Capheny,5,Roxie,Annette,Omen,Aya,
CDAX,QLASH,1,5/1/2022,10:00:00 PM,AIC2022Europe,Europe,Zuka,LuBu,Lorion,Hayate,Lumburr,13:04,Arum,Laville,Liliana,Kriknak,Yena,Mina,Volkath,Veres,Florentino,1,Skud,Paine,Aya,Omen,
CDAX,QLASH,2,5/1/2022,10:00:00 PM,AIC2022Europe,Europe,Veres,Aoi,Liliana,Laville,Thane,22:56,Lumburr,Thorne,Lorion,Butterfly,LuBu,Aya,Omen,Volkath,Richter,2,Superman,Airi,Florentino,Mina,
CDAX,QLASH,1,5/1/2022,10:00:00 PM,AIC2022Europe,Europe,Wukong,Volkath,Ilumia,Thorne,Tachi,22:38,Thane,Violet,Tulen,Skud,Veres,Hayate,Krixi,Tel'Annas,Slimz,3,Capheny,Mina,Aya,Omen,
CDAX,QLASH,2,5/1/2022,10:00:00 PM,AIC2022Europe,Europe,Qi,Nakroth,Krixi,Wisp,Aya,16:17,Baldum,Slimz,Yue,Aoi,Mina,Hayate,Volkath,Paine,Airi,4,Skud,TheJoker,Omen,Florentino,
CDAX,QLASH,1,5/1/2022,10:00:00 PM,AIC2022Europe,Europe,WonderWoman,Fennik,Zata,Eland'orr,Florentino,23:59,Roxie,Capheny,Iggy,Paine,Richter,Aya,Volkath,Elsu,Nakroth,5,Annette,Arum,Mina,Omen,
KFC,Hertz,2,1/9/2022,4:00:00 PM,COV2022Spring,Indonesia,Riktor,Kriknak,Lorion,Hayate,WonderWoman,11:08,Tachi,Laville,Liliana,Tulen,Veres,Zip,Aya,Aoi,Keera,1,Yena,Omen,LuBu,Florentino,
KFC,Hertz,2,1/9/2022,4:00:00 PM,COV2022Spring,Indonesia,Airi,Butterfly,Liliana,Laville,Tachi,12:42,Riktor,Yena,Krixi,Eland'orr,Florentino,Lorion,Aya,Omen,Rouie,2,Keera,Aoi,Tulen,LuBu,
P7E,Hertz,2,1/9/2022,8:30:00 PM,COV2022Spring,Indonesia,Roxie,Errol,Liliana,Hayate,Tachi,16:43,WonderWoman,Riktor,Tulen,Eland'orr,Veres,Zip,Florentino,Thorne,Laville,1,Aoi,Omen,Aya,LuBu,
P7E,Hertz,2,1/9/2022,8:30:00 PM,COV2022Spring,Indonesia,Riktor,Qi,Lorion,Slimz,Alice,20:07,Tachi,Thorne,Liliana,LuBu,Yena,Florentino,Zip,Hayate,Laville,2,Veres,Eland'orr,Tulen,Aya,
KFC,NB,1,1/9/2022,7:00:00 PM,COV2022Spring,Indonesia,Qi,LuBu,Tulen,Slimz,Tachi,Game,1,Baldum,Laville,Liliana,Aoi,[hide],Aya,Florentino,Elsu,Game,1,Roxie,Mina,Hayate,
KFC,NB,1,1/9/2022,7:00:00 PM,COV2022Spring,Indonesia,Omen,Riktor,Nakroth,Lorion,Laville,WonderWoman,13:14,Mina,Hayate,Iggy,Keera,Zip,Florentino,Superman,Tulen,Game,2,Aoi,Kriknak,Omen,
AIW,NS,2,1/16/2022,5:30:00 PM,COV2022Spring,Indonesia,Tachi,Errol,Tulen,Thorne,Mina,14:27,Krizzix,Hayate,Krixi,Kriknak,Florentino,Aya,Zata,Aoi,Keera,1,Liliana,LuBu,Annette,Zip,
AIW,NS,2,1/16/2022,5:30:00 PM,COV2022Spring,Indonesia,Qi,LuBu,Liliana,Slimz,WonderWoman,11:52,Zip,Thorne,Dirak,Aoi,Omen,Aya,Tulen,Lorion,Raz,2,Baldum,Roxie,Hayate,Annette,
NS,4th,1,1/16/2022,7:50:00 PM,COV2022Spring,Indonesia,Roxie,LuBu,Dirak,Thorne,Zip,18:45,Riktor,TheJoker,Liliana,Veres,Omen,[hide],Annette,Tulen,Kriknak,Game,1,Mina,Keera,Florentino,
NS,4th,1,1/16/2022,7:50:00 PM,COV2022Spring,Indonesia,Superman,Paine,Krixi,Hayate,Krizzix,Game,2,Alice,Thorne,Lorion,Tulen,Aoi,Zip,LuBu,Roxie,2,Kriknak,Keera,Aoi,Florentino,
AIW,Æsir,1,1/16/2022,7:00:00 PM,COV2022Spring,Indonesia,LuBu,Errol,Krixi,Slimz,Aya,09:35,Tachi,Hayate,Iggy,Veres,Omen,Florentino,Tulen,Liliana,Lorion,1,Mina,Mina,Zip,Annette,
AIW,Æsir,1,1/16/2022,7:00:00 PM,COV2022Spring,Indonesia,Riktor,Murad,Sephera,Capheny,Maloch,15:45,Arum,Violet,Liliana,Aoi,Florentino,Annette,Aya,Thorne,Slimz,2,Nakroth,Tulen,Hayate,Zip,
AIW,Hertz,2,1/25/2022,4:00:00 PM,ASLB2022Spring,Indonesia,Tachi,Kriknak,Krixi,Hayate,Omen,13:38,Lumburr,Moren,Ilumia,Aoi,Mina,Aya,Tulen,Lorion,Liliana,1,Keera,Qi,Annette,Florentino,
AIW,Hertz,1,1/25/2022,4:00:00 PM,ASLB2022Spring,Indonesia,Yena,Nakroth,Aya,TheJoker,Arthur,12:56,TeeMee,Airi,Liliana,Eland'orr,Florentino,Hayate,Omen,Tachi,Riktor,2,Keera,Aoi,Lumburr,Tulen,
AIW,Hertz,2,1/25/2022,4:00:00 PM,ASLB2022Spring,Indonesia,Roxie,Errol,Lorion,Laville,Mina,10:11,Annette,Hayate,Krixi,Keera,Qi,Aya,Tulen,Omen,Yena,3,Aoi,Eland'orr,Lumburr,Florentino,
NS,TP,1,1/25/2022,5:30:00 PM,ASLB2022Spring,Indonesia,Florentino,Tulen,Riktor,Slimz,Alice,14:08,Zip,Moren,Annette,Paine,Qi,Aya,Lumburr,Celica,Violet,1,WonderWoman,TeeMee,Hayate,Aoi,
NS,TP,1,1/25/2022,5:30:00 PM,ASLB2022Spring,Indonesia,Superman,Paine,Krixi,Capheny,Baldum,11:06,Krizzix,TheJoker,Liliana,Errol,Tachi,Aya,Lumburr,Omen,Kriknak,2,Keera,Aoi,Hayate,Annette,
TP,ENC,1,1/26/2022,4:00:00 PM,ASLB2022Spring,Indonesia,Florentino,Errol,Krixi,Hayate,Lumburr,27:18,Alice,Elsu,Annette,Veres,Yena,Aya,Zata,Paine,Aoi,1,Kriknak,Omen,Liliana,Tulen,
TP,ENC,1,1/26/2022,4:00:00 PM,ASLB2022Spring,Indonesia,Yena,Kriknak,Aya,Slimz,Taara,15:25,Lumburr,Laville,Lorion,Qi,Omen,Hayate,Krixi,Capheny,Aoi,2,Keera,Mina,Annette,Tulen,
Hertz,NS,1,1/26/2022,5:30:00 PM,ASLB2022Spring,Indonesia,Omen,Kriknak,Lorion,Laville,Tachi,21:56,Lumburr,Hayate,Dirak,Aoi,Roxie,Florentino,Tulen,Liliana,Mina,1,Qi,Eland'orr,Annette,Aya,
Hertz,NS,1,1/26/2022,5:30:00 PM,ASLB2022Spring,Indonesia,Airi,Tulen,WonderWoman,Hayate,Annette,13:53,Alice,Violet,Krixi,Paine,Superman,Florentino,Lorion,Eland'orr,Keera,2,Yena,Aoi,Lumburr,Aya,
FastONE,AIW,2,1/26/2022,7:00:00 PM,ASLB2022Spring,Indonesia,Riktor,Qi,Lorion,Slimz,Tachi,14:39,Lumburr,Laville,Liliana,Nakroth,Yena,Aya,Tulen,Kriknak,Omen,1,Aoi,Keera,Hayate,Florentino,
FastONE,AIW,2,1/26/2022,7:00:00 PM,ASLB2022Spring,Indonesia,Amily,Airi,Liliana,Hayate,Baldum,15:56,WonderWoman,TheJoker,Krixi,Eland'orr,Qi,Aya,Florentino,Tachi,Omen,2,Aoi,Keera,Tulen,Lumburr,
NS,FastONE,1,1/27/2022,4:00:00 PM,ASLB2022Spring,Indonesia,Omen,Keera,Riktor,Slimz,Alice,14:03,WonderWoman,Elsu,Krixi,Tulen,Taara,Aya,Florentino,Capheny,Violet,1,Laville,Aoi,Annette,Hayate,
NS,FastONE,1,1/27/2022,4:00:00 PM,ASLB2022Spring,Indonesia,Yena,Aoi,Veres,Hayate,Peura,18:27,Tachi,Slimz,Dirak,Fennik,Riktor,Annette,Aya,Lorion,Kriknak,2,Baldum,Lumburr,Tulen,Florentino,
ENC,Hertz,2,1/27/2022,5:30:00 PM,ASLB2022Spring,Indonesia,Mina,Amily,Lorion,Slimz,Riktor,13:41,Roxie,Laville,Krixi,Tulen,Veres,Aya,Annette,Liliana,Aoi,1,Keera,Errol,Florentino,Lumburr,
ENC,Hertz,1,1/27/2022,5:30:00 PM,ASLB2022Spring,Indonesia,Qi,Kriknak,Annette,Laville,Lumburr,16:05,Mina,Moren,Liliana,Keera,Omen,Tachi,Aoi,Hayate,Slimz,2,Errol,Eland'orr,Tulen,Aya,
ENC,Hertz,2,1/27/2022,5:30:00 PM,ASLB2022Spring,Indonesia,Yena,Errol,Iggy,TheJoker,Omen,15:23,Annette,Hayate,Lorion,Fennik,Amily,Aya,Lumburr,Riktor,Qi,3,Keera,Eland'orr,Florentino,Tulen,
4th,TP,2,1/27/2022,7:00:00 PM,ASLB2022Spring,Indonesia,Florentino,Eland'orr,Liliana,Laville,Mina,18:28,Lumburr,TheJoker,Lorion,Errol,Qi,Aya,Annette,Slimz,Moren,1,Aoi,Krixi,Tulen,Hayate,
4th,TP,1,1/27/2022,7:00:00 PM,ASLB2022Spring,Indonesia,Yena,Veres,Tulen,Slimz,Tachi,22:13,WonderWoman,Hayate,Krixi,Nakroth,Riktor,Annette,Eland'orr,Florentino,Keera,2,Lorion,Aoi,Aya,Lumburr,
4th,TP,1,1/27/2022,7:00:00 PM,ASLB2022Spring,Indonesia,Omen,Paine,Krixi,Hayate,Roxie,14:17,Tachi,Slimz,Liliana,Kriknak,Amily,Annette,Tulen,Florentino,Superman,3,Errol,Aoi,Aya,Lumburr,
Hertz,4th,1,2/1/2022,4:00:00 PM,ASLB2022Spring,Indonesia,Allain,Tulen,WonderWoman,Capheny,Lumburr,16:17,Tachi,Hayate,Liliana,Aoi,Omen,Florentino,Lorion,Eland'orr,Keera,1,Krixi,Mina,Annette,Aya,
Hertz,4th,1,2/1/2022,4:00:00 PM,ASLB2022Spring,Indonesia,Qi,Paine,Zata,Laville,Omen,13:19,Alice,Mina,Annette,Eland'orr,Florentino,Aya,Lumburr,TheJoker,Lorion,2,Roxie,Keera,Tachi,Hayate,
AIW,NS,1,2/1/2022,7:00:00 PM,ASLB2022Spring,Indonesia,Yena,Qi,Lorion,Elsu,WonderWoman,24:51,Krizzix,Slimz,Krixi,Aoi,Florentino,Tulen,Aya,Lumburr,Roxie,1,Nakroth,Kriknak,Annette,Hayate,
AIW,NS,1,2/1/2022,7:00:00 PM,ASLB2022Spring,Indonesia,Omen,Nakroth,Tulen,Slimz,Roxie,16:58,Lumburr,Celica,Liliana,Keera,Mina,Lorion,WonderWoman,Capheny,Fennik,2,Eland'orr,Laville,Hayate,Aya,
ENC,AIW,1,2/2/2022,4:00:00 PM,ASLB2022Spring,Indonesia,Mina,Qi,Liliana,Slimz,Lumburr,10:09,Roxie,Elsu,Tulen,Florentino,Omen,Aya,Lorion,Keera,Yena,1,Kriknak,Eland'orr,Hayate,Annette,
ENC,AIW,2,2/2/2022,4:00:00 PM,ASLB2022Spring,Indonesia,Omen,Veres,Annette,Capheny,Thane,16:05,WonderWoman,Laville,Lorion,Aoi,Tachi,Lumburr,Liliana,Mina,Yena,2,Kriknak,Keera,Hayate,Aya,
ENC,AIW,2,2/2/2022,4:00:00 PM,ASLB2022Spring,Indonesia,Riktor,Aoi,Iggy,TheJoker,Arum,17:32,Xeniel,Hayate,Liliana,Qi,Yena,Lumburr,Annette,Mina,Kriknak,3,Keera,WonderWoman,Aya,Lorion,
4th,FastONE,1,2/2/2022,5:30:00 PM,ASLB2022Spring,Indonesia,Omen,Eland'orr,Liliana,Slimz,Lumburr,17:21,Tachi,Violet,Tulen,Keera,Riktor,Hayate,Annette,Mina,Krixi,1,Errol,Qi,Aya,Florentino,
4th,FastONE,2,2/2/2022,5:30:00 PM,ASLB2022Spring,Indonesia,Florentino,Aoi,Ilumia,Hayate,Tachi,16:29,WonderWoman,Slimz,Lorion,LuBu,Airi,Lumburr,Annette,Eland'orr,Qi,2,Keera,Krixi,Tulen,Aya,
4th,FastONE,1,2/2/2022,5:30:00 PM,ASLB2022Spring,Indonesia,Ryoma,Tulen,Annette,Laville,Roxie,19:22,Thane,Elsu,Liliana,Aoi,Zuka,Lumburr,Hayate,Omen,Florentino,3,Qi,Airi,Lorion,Aya,
TP,Hertz,2,2/2/2022,7:00:00 PM,ASLB2022Spring,Indonesia,Tachi,Errol,Ilumia,Hayate,Tachi,13:26,Enzo,Tulen,Zata,Butterfly,Bright,Aya,TheJoker,Baldum,Alice,1,Keera,Omen,Lumburr,Lorion,
TP,Hertz,2,2/2/2022,7:00:00 PM,ASLB2022Spring,Indonesia,Qi,Veres,Aleister,Slimz,Lumburr,22:11,Violet,Preyta,Tachi,Nakroth,Arthur,Hayate,Annette,Krixi,Liliana,2,Omen,Florentino,Aya,Lorion,
FastONE,TP,2,2/3/2022,4:00:00 PM,ASLB2022Spring,Indonesia,Riktor,Airi,Liliana,Hayate,Cresht,14:22,Lumburr,TheJoker,Annette,LuBu,Yena,Aya,Lorion,Omen,Kriknak,1,Keera,Aoi,Krixi,Tulen,
FastONE,TP,1,2/3/2022,4:00:00 PM,ASLB2022Spring,Indonesia,WonderWoman,Aoi,Lorion,Yorn,Tachi,16:43,Roxie,Eland'orr,Paine,Tulen,Florentino,Hayate,Aya,Thane,Rouie,2,Zuka,TheJoker,Annette,Lumburr,
FastONE,TP,2,2/3/2022,4:00:00 PM,ASLB2022Spring,Indonesia,Arthur,Veres,Ignis,Laville,Baldum,10:51,WonderWoman,Slimz,Lorion,Butterfly,Omen,Aya,Hayate,Tachi,Errol,3,Keera,Florentino,Tulen,Lumburr,
AIW,4th,2,2/3/2022,5:30:00 PM,ASLB2022Spring,Indonesia,Arthur,Qi,Liliana,Capheny,Lumburr,19:10,Tachi,Laville,Lorion,Errol,Omen,Florentino,Hayate,Keera,Eland'orr,1,Nakroth,Mina,Tulen,Aya,
AIW,4th,1,2/3/2022,5:30:00 PM,ASLB2022Spring,Indonesia,Omen,Kriknak,Krixi,Laville,WonderWoman,22:23,Lumburr,Slimz,Liliana,Tulen,Airi,Aya,Hayate,Florentino,Yena,2,Nakroth,Eland'orr,TheJoker,Lorion,
AIW,4th,1,2/3/2022,5:30:00 PM,ASLB2022Spring,Indonesia,Yena,Aoi,Tulen,Slimz,Xeniel,23:36,Roxie,Moren,Lauriel,Veres,Qi,Aya,Florentino,Keera,Krixi,3,Eland'orr,Nakroth,Lorion,Hayate,
NS,ENC,1,2/3/2022,7:00:00 PM,ASLB2022Spring,Indonesia,Omen,Veres,Iggy,Hayate,Alice,22:14,Annette,TheJoker,Liliana,Errol,Tachi,Aya,Lumburr,Mina,Roxie,1,Keera,Paine,Tulen,Aoi,
NS,ENC,1,2/3/2022,7:00:00 PM,ASLB2022Spring,Indonesia,Skud,Keera,Lorion,Capheny,Baldum,21:48,Mina,Slimz,Krixi,Qi,Yena,Aya,Lumburr,Omen,Kriknak,2,Krizzix,Peura,Tulen,Aoi,
TP,AIW,2,2/4/2022,5:30:00 PM,ASLB2022Spring,Indonesia,Qi,LuBu,Krixi,Slimz,Lumburr,18:38,Omen,Slimz,Veera,Quillen,Florentino,Aya,Tulen,Aoi,Nakroth,1,Keera,Errol,Lorion,Hayate,
TP,AIW,1,2/4/2022,5:30:00 PM,ASLB2022Spring,Indonesia,Omen,Butterfly,Lorion,Hayate,WonderWoman,11:33,Riktor,Lindis,Ilumia,Airi,Allain,Lumburr,Slimz,Yena,Aoi,2,Keera,Kriknak,Aya,Errol,
TP,AIW,2,2/4/2022,5:30:00 PM,ASLB2022Spring,Indonesia,Florentino,Errol,Annette,TheJoker,Yena,16:31,WonderWoman,Laville,Lorion,Qi,Tachi,Lumburr,Hayate,Aoi,Nakroth,3,Liliana,Capheny,Tulen,Aya,
Hertz,FastONE,1,2/4/2022,7:00:00 PM,ASLB2022Spring,Indonesia,Tachi,Sinestrea,Lauriel,Dextra,Tachi,14:38,Lumburr,Slimz,Krixi,LuBu,Airi,Lorion,Hayate,Florentino,Eland'orr,1,Laville,Omen,Tulen,Aya,
Hertz,FastONE,1,2/4/2022,7:00:00 PM,ASLB2022Spring,Indonesia,Ormarr,Volkath,Valhein,WonderWoman,Krixi,16:37,Grakk,Lindis,Veera,Bright,Zuka,Lorion,Aya,Omen,Florentino,2,Keera,Aoi,Tulen,Hayate,
DWU,ArchA,1,2/23/2022,4:00:00 PM,ASL2022Spring,Indonesia,Tachi,Butterfly,Lorion,Wisp,Zip,12:32,Thane,Laville,Yue,Qi,Skud,Florentino,Omen,Superman,LuBu,1,Veres,Yena,Lumburr,Aya,MAMMON
DWU,ArchA,1,2/23/2022,4:00:00 PM,ASL2022Spring,Indonesia,Omen,Tulen,Krixi,TheJoker,Krizzix,21:26,Roxie,Hayate,Liliana,Paine,Errol,Yue,Elsu,Mina,Keera,2,Alice,Lumburr,Aoi,Yue,Enyx
Hertz,AIW,2,2/23/2022,6:00:00 PM,ASL2022Spring,Indonesia,Yena,Keera,Tulen,Hayate,Tachi,23:00,WonderWoman,Laville,Krixi,Nakroth,Skud,Florentino,Lorion,Aoi,Omen,1,Mina,Liliana,Aya,Yue,HumanOP
Hertz,AIW,1,2/23/2022,6:00:00 PM,ASL2022Spring,Indonesia,Airi,Eland'orr,Liliana,Laville,Omen,12:15,Thane,Hayate,Lorion,Qi,Florentino,Aya,Yue,Mina,Tulen,2,Roxie,Aoi,WonderWoman,Krixi,Diy
Hertz,AIW,2,2/23/2022,6:00:00 PM,ASL2022Spring,Indonesia,Skud,LuBu,Lorion,Capheny,Mina,14:27,Roxie,Slimz,Tulen,Kriknak,Yena,Liliana,Eland'orr,Tachi,Keera,3,Butterfly,Aoi,Aya,Yue,Ecot
NS,DG,2,2/23/2022,8:00:00 PM,ASL2022Spring,Indonesia,Tachi,Eland'orr,Ilumia,Slimz,Lumburr,13:49,WonderWoman,Hayate,Lorion,Butterfly,Omen,Yue,Tulen,Aoi,Paine,1,Laville,Mina,Aya,Florentino,Ayep
NS,DG,2,2/23/2022,8:00:00 PM,ASL2022Spring,Indonesia,Florentino,Aoi,Iggy,Hayate,Baldum,16:20,Roxie,Laville,Raz,Qi,Superman,Aya,Tulen,Liliana,Annette,2,Mina,Yue,Lorion,Omen,Nugs
DG,DWU,2,2/24/2022,4:00:00 PM,ASL2022Spring,Indonesia,Mina,Qi,Yue,Hayate,Ormarr,13:58,Zip,Laville,Lorion,Tulen,Tachi,Omen,Florentino,Butterfly,Eland'orr,1,Aoi,Veres,Elsu,Aya,Axiorety
DG,DWU,2,2/24/2022,4:00:00 PM,ASL2022Spring,Indonesia,Max,Eland'orr,Krixi,Tachi,Amily,13:42,Omen,Slimz,Liliana,Wukong,Murad,Aya,Hayate,Butterfly,Paine,2,Ryoma,Florentino,Laville,Elsu,44ape
AIW,NS,1,2/24/2022,6:00:00 PM,ASL2022Spring,Indonesia,Tachi,Qi,Yue,Laville,Thane,16:26,Lumburr,Hayate,Liliana,LuBu,Omen,Florentino,Aoi,Keera,Eland'orr,1,Kriknak,Mina,Lorion,Aya,Flava
AIW,NS,1,2/24/2022,6:00:00 PM,ASL2022Spring,Indonesia,Skud,Eland'orr,Krixi,Slimz,WonderWoman,15:49,Baldum,Violet,Lorion,Paine,Florentino,Aya,Aoi,Mina,Roxie,2,Yena,Nakroth,Omen,Hayate,WL
ArchA,Hertz,1,2/24/2022,8:00:00 PM,ASL2022Spring,Indonesia,Amily,Tulen,Lorion,Hayate,Lumburr,16:29,Roxie,Slimz,Liliana,Aoi,Yena,Omen,Superman,Laville,Capheny,1,LuBu,Qi,Yue,Aya,Albion
ArchA,Hertz,1,2/24/2022,8:00:00 PM,ASL2022Spring,Indonesia,Florentino,Nakroth,Yue,Elsu,WonderWoman,14:45,Tachi,Laville,Lorion,Keera,Omen,Aya,Hayate,Tulen,Qi,2,Aoi,Eland'orr,Mina,Zip,Senko
