web-scraper-order,web-scraper-start-url,comment,user,Experience time,score,location,Triptype,score1,score2,score3,score4,score5,score6
1646395386-957,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Second time staying in Amari Pattaya and they do not disappoint. Our last stay was two years ago and to be frank everything just got better than before.
From the room to all the staffs, everything was perfect. We stayed in room #1201 with the view of the Ocean right infront of us. We would highly recommend this room to anyone.
In regards to the location of the hotel, the hotel is located in one of the most convenient spots in Pattaya. With the beach right infront of the hotel and shopping malls and restaurants all around. Everywhere necessary was in walking distance.
We surely hope to return back to Amari Pattaya since we are very well ensured that a good time is promised!",RauYang,??.?.-19,5,Maldives,Couple,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-1131,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,I have worked for number of international 5* hotels in Glasgow and I was wowed by the great service provided at this hotel! All the staff where always smiling and there to help! Keep up the good work guys! : ),Anthony W,??.?.-15,5,Pattaya,Friends,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-1007,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,We glad to select this junior suite ocean view type as it has excellent ocean view. Although it's a bit high cost but we are willing to pay for it. Finally we hope to come back and stay here again next trip.,Thanit C,?.?.-17,4,"Bangkok, Thailand",Family,4-Value,5-Rooms,4-Location,4-Cleanliness,3-Service,4-Sleep Quality
1646395386-889,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Hotel staff are very nice service with a smile, most specially to Front Desk &Amaya Restaurant
We will recommend Amari Pattaya.
Beyond the relaxing atmosphere of the Pool, the next best part was the fantastic food and excellent service at the Amaya Restaurant. The menu has a great variety of food choices and the preparation made for superior tasting. The staff was very attentive, professional and friendly.",thanongsakp2021,??.?.-21,5,"Bangkok, Thailand",null,4-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-1115,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"For those who have never been to Pattaya, beware. While there are great golf courses and recreational opportunities, the town itself is a big red light bar district--not just the (in)famous Walking Street. The Amari Garden is a bit of an oasis on the north end of town, a bit away from the less family friendly areas. Amari is beginning to show its age but the rooms are big and those on the north side have spectacular views. The bed is comfortable; good cable TV. But the best is the swimming pool area. Huge swimming pool and a separate play pool. Breakfast buffet is also excellent.",Elochoop,?.?.-15,5,"Monterey, California",Business,4-Value,5-Rooms,5-Location,4-Cleanliness,4-Service,5-Sleep Quality
1646395386-931,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I have stayed at this hotel since 2006 and throughout the years of renovation. The rooms are all now refreshed and modern. The foyer/atrium is superb. The breakfast area is lovely.
Service as always is the real high point of this hotel. All staff without exception are superb.
I do however have one reservation, the new pool complex is clearly tailored towards kids. I am worried it will get very noisy as the kids enjoy the many slides , water guns and other kid related features. This wasn't a problem at my recent visit as the hotel wasn't busy.
I intend to return in August and November and will decide whether or not to continue using this hotel then.",leethomaswales,??.?.-19,5,"Cardiff, United Kingdom",Solo,4-Value,5-Rooms,5-Service,null,null,null
1646395386-1165,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Recently stayed at the hotel on a business trip. Very warm welcome, room excellent, very clean and good facilities. Good quality food in both the restaurants we ate in and good selection for breakfast. Would highly recommend.",Steve B,?.?.-14,5,"Maidenhead, United Kingdom",Business,null,null,null,null,null,null
1646395386-1051,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Awesome clean modern hotel with friendly staff in great location. Stayed in the Executive Club Rooms and they are well worth the upgrade. Great pool facilities and in a good location. The staff in the Executive Club on the 19th floor are excellent and can not do enough for you it offers great food and drinks.  Will stay again for sure.,Broomepeople,??.?.-17,5,"Broome, Australia",Friends,5-Cleanliness,5-Service,5-Sleep Quality,null,null,null
1646395386-1111,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"To room key did not work ever again. I do not have a key card next to the phone.
During the 2 weeks each time had to go against the hiring process applying to a new key!
The hotel is really not worth a 5 star!",Marko M,??.?.-16,2,,Friends,2-Value,3-Location,2-Service,null,null,null
1646395386-880,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"we stayed during the COVID outbreak and found that the staff are strictly follow the guidelines. beside on the facility which are excellent especially the swimming pool, the service of the staff was the best. Highly recommended.",andy k,??.?.-21,5,"Bangkok, Thailand",null,4-Value,4-Rooms,5-Location,4-Cleanliness,5-Service,4-Sleep Quality
1646395386-988,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Very good place and location. convenient with friendly staff. Nothing to complain. Clean and tidy place as well despite having renovation. Security guards are friendly. everybody is friendly! Will be back there again!,Wwei L,??.?.-18,5,Singapore ,Solo,3-Value,4-Rooms,4-Location,4-Cleanliness,5-Service,4-Sleep Quality
1646395386-1057,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I've been to Pattaya and stayed at this hotel no fewer than 18 times in the last 5 years and I have only good things to say about this hotel.
Firstly, location, the hotel is located on the ""north"" end right on the beach road which has some advantages and disadvantages. Disadvantage is that the beach road is 5km long and the Central shopping mall is 2,5km away in the centre of the beach road and walking street, is on the southern end of the beach road, which is quite a walk away. But on the plus side, for me the location is a positive because it is away from the noisy bars and clubs and has a real peaceful feel to the place as you can mostly only hear the jetskis and boats in the ocean across the road. Tuk tuks drive from the north end of beach road all the way down to the southern end and pass by the hotel every few seconds during the day and night you can hop on and off at any point for 10baht which then really makes the location no problem at all.
The staff are very friendly and welcoming, and very visible all over the hotel. The Ocean tower is the newish wing of the hotel and is very modern and posh. The rooms are also very well looked after, clean, modern, and a pleasure to stay in. The beds are very comfortable and the linen always looks as good as new. As for room location, the hotel building runs perpendicular to the beach so the one end of the hotel building is close to the beach and has great views whereas the back end of the building is more inland and has garden views on the one side and a view of the neighboring holiday inn hotel on the other side. So try to book an ocean view room, close to the ocean side of the hotel. Or even better, try to book a ocean view junior suite, which has a spectacular panoramic view of the entire bay of pattaya. 
The hotel has a couple of good food options if you choose to dine in, I love the Sports bar which is overlooking the beach, great international and thai menu options as well as different buffet specials every evening, worth a try. The pool side bar is also great for snacks and small meals while relaxing at the pool and  they have some great happy hour specials which are great value for money. For those looking for fine dining, the hotel has a Mantra restaurant which is one of the finest restaurants in Pattaya, its not cheap, but the food is more of an artistic experience than just a meal.
I also make regular visits to the hotel spa. Yes it costs 2 or 3 times the price of an ordinary massage in the street, but this is a much more refined massage experience and a safe choice for a good massage rather than guessing which place to choose in one of the streets and being disappointed or worse, being injured.
All in all, as you can see, I have no bad feedback from this hotel. I've stayed here many times and if I've had the smallest of complaints, they were attended to are resolved immediately. I've stayed here in all times of the year, in the peak seasons, in the quiet seasons, and the service has always been the same, without any problems.
Just a tip when booking, join the Onyx rewards program before booking for additional discounts and benefits, and also be sure to take advantage of the regular promotion prices that the hotel offers from time to time. Its an easy money saver",Shahin L,?.?.-17,5,,Solo,5-Cleanliness,5-Service,5-Sleep Quality,null,null,null
1646395386-906,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"An excellent hotel set away from the busy nightlife of Walking Street. It has a plethera of pools suitable for toddlers to adults.
Close to the beach and retail opportunities this is a super family friendly hotel.",DNoble94,??.?.-20,5,"Plymouth, United Kingdom",null,5-Value,5-Rooms,4-Location,4-Cleanliness,5-Service,3-Sleep Quality
1646395386-905,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"My wife and I have been here 5 times,and the staff are the best anywhere,but unfortunately we feel the hotel changes are for the poorer.We went for the Executive club room again,as we’ve loved it 3 times before,but this year,there was only a buffet choice at weekends,and we were disappointed about that.As always the staff in the club were first class,May,Annie,Moy,App and Pear were super attentive,and May dealt with an exploding iron in our room really professionally,making sure my wife was ok. We really miss the swim up bar for socialising,although the pool bar staff again were great,met Surusak again,like an old friend,and the bar manager from Sri Lanka,was really nice,Childmina or something 🤷🏻‍♂️.The Mantra being closed is a big loss,as is the Tavern by the sea,as we ate there often for lunch and dinner,and enjoyed the live music that was always on.The Ice bar was a nice bar too,but that’s away also.The hotel has no real reason for people to stay after 8 pm,as there’s no bars or entertainment on site after this time.We did love the new pool,and the kids zone looks great for young ones too.All in all,if things stay as they are,I’m not sure we’ll be back, as we picked Amari because of the great facilities,but most of them are now gone,hopefully the buffet will return in Executive club,and the a swim up bar will get incorporated somewhere,and perhaps the new eatery in Mantra location might be of real quality. We’ll reserve booking next years holiday,as virus makes uncertainty,and not quite sure Amari delivers what it used to,still a nice resort,but just lacking in my opinion.",MrandMrsMcN,??.?.-20,4,scotland,Couple,null,null,null,null,null,null
1646395386-887,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Most recommended place to stay in Pattaya. The Amari Hotel, the best hotel for a vacation with elegant. comfortable, convenient and feel like home with their welcome. We been there for a very very short vacation. The hotel is very professional check-in smoothly with kid special thanks. We book a family room. The room is lovely big nice sea view. Our kids love their big double-deck bed. Kids own space with fun, swimming pool is fantastic. What we love the most is the breakfast huge line of breakfast we ever have. They have variety of food and good quality and best selection of ingredients. Salad bar, choices of bread, sushi bar, noodle, international food, we eat all thump up 10/10 mark score. Our kids have their own breakfast corner with a cute fried eegs, yogurt, kid soft drink",Sansiton Arayangkoon,??.?.-21,5,"Bangkok, Thailand",Family,null,null,null,null,null,null
1646395386-1105,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"On the beach, maybe the best pools in town.  Has a lap pool, plus another General pool.  Seating outside is loaded with soft lounge chairs, and all seats have an umbrella. 
Rooms ocean view very luxurious.",Jonky1,??.?.-16,5,"Chiang Mai, Thailand",Solo,5-Location,5-Service,5-Sleep Quality,null,null,null
1646395386-1134,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Stayed at this hotel for 5 nights in February and we weren't disappointed.  The hotel is situated to the north of Pattaya bay and therefore in a little quieter area.  The ten bart busses run right outside of the hotel so getting around the whole of Pattaya is not a problem.  
The hotel is very clean and the ocean tower sea view rooms superb with picture windows and bath for two.  The breakfast is excellent with choice for everyone, english, thai, japan and korean food, very well played out also.  The breakfast staff are a credit to the hotel especially the egg station guys.
This hotel won't disappoint, we will be back.",Mark_Hindmarch,?.?.-15,5,Newton Aycliffe,Friends,5-Value,5-Cleanliness,5-Service,null,null,null
1646395386-951,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Excellent location and facilities, nice view, convenient, floor look old (tile) seem difficult to clean but good in anti slip, all staff are willing to service with smile and assist, overall are in very good rate.",Trek22813813178,??.?.-19,5,"Singapore, Singapore",Couple,4-Value,4-Rooms,5-Location,4-Cleanliness,4-Service,4-Sleep Quality
1646395386-993,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Fantastic holiday, hotel was beautiful and the hotel staff went above and beyond to make our stay special. Will definitely stay here again. Plenty of things to see and do in Pattaya. Not really for children but great for adults.",Babybels_71,?.?.-17,5,,Couple,5-Location,5-Service,5-Sleep Quality,null,null,null
1646395386-940,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Nice hotel, renovated room, very clean place and friendly staff. Recommended for solo/couple or family, they have a big swimming pool and ""water park"" for kids. Breakfast have a good selection of food.",Stefano B,??.?.-19,5,"Phuket Town, Thailand",Solo,null,null,null,null,null,null
1646395386-1004,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"We recommend that more variety of food include in vegetarian menu
Pool is very nice
Hotel staff is humble polite ready to serve 
Cleanness of hotel and room  impress us
Early checkin favility should be provide",arunkumarsardarmalj,?.?.-17,5,"Surat, Australia",Family,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-1081,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Amari Orchid Hotel's always been the only hotel our family choose to stay every time visiting Pattaya :))
its been like 12 years for me since Amari Garden till Ocean Tower today, i do lovee all the things here! a warm welcome, big fun pools, specially the staffs are just really nice, kind, and very 
and once they helped me arranging a lovely surprise birthday cake for dad in Tavern by the sea restaurant and also hotel room, and yes! my daddy was definitely happy with that! :D 
thank you Amari, thank you team staffs :)) 
ps. we are checking in here again tomorrow and hoping all will be great as always",namwarn4664,??.?.-16,5,"Bangkok, Thailand",null,null,null,null,null,null,null
1646395386-920,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Would not stay at any other hotel in Pattaya. The Breakfast was exceptional and the location of the hotel is very good. The best part of the whole stay was the service and dedication of the staff to help you out. Will definately come back. !,Saumil P,?.?.-19,5,,Couple,5-Value,5-Rooms,4-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-1014,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Loved loved loved this hotel, we didn't want to leave. The rooms are very clean, the breakfast buffet was fantastic, the staff were extremely friendly and welcoming. We had a club level room which offers free alcohol and snacks from I believe 5-7PM. The club level rooms are much higher and have a beautiful view. I really wish I was laying back down by the pool!",Jaime H,??.?.-17,5,,Couple,5-Location,5-Cleanliness,5-Service,null,null,null
1646395386-979,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,Following check out my girlfriend remembered she had left her earrings on the table in the room. when we called to ask them to send us the earrings they said they would conduct an investigation and get back to us.  That investigation they later claimed turned up nothing.  Instead of taking some level of accountability for the theft they simply said she should have put them in the safe in the room.  To me this statement did nothing more than confirm their belief that they have a problem with staff stealing.,Wes F,??.?.-18,1,"Bend, Oregon, Usa",Friends,3-Value,4-Rooms,4-Location,4-Cleanliness,4-Service,4-Sleep Quality
1646395386-1032,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I have always shared a special relationship with this hotel and have always recommended it to all my friends. Facilities provided are par excellence. I would like to specially mention Khun Sukanyapach Homchuean who has always gone out of her way to make our stay most comfortable right from the reservation till our departure. She makes us feel very special and take time from her busy schedule to come and meet us to make sure that we are comfortable. She even goes into minor details and asks me if anything is lagging in the hotel and makes it a point to note it in her diary to ensure it is not repeated. Her professionalism, competence, dedication and sophistication are qualities to be admired. I would also like to thank Khun Saneh Parakobsub for meeting us and checking up on us from time to time. Unfortunately I could not meet your Area General Manager as he was travelling during my visit. Overall an absolutely fantastic hotel.",Sanjayagru,??.?.-17,5,"Kolkata (Calcutta), India",Friends,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-1114,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I stayed for 1 night and got a wonderful view of the pool they had to offer. The rooms were spectacular and I only got the basic. There's a balcony and even a pool side bar you can swim into while you're at the pool. I don't think I have any complaints except I didn't realize you had to use the room key to keep the rooms power on, but that's all due to my somewhat low intelligence. The lobby was great and the bar was even better. 
Also, Walking Street is right there. Just saying.",whatandy,?.?.-16,5,Pattaya,Business,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-1180,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"This is my first time in Pattaya and everything excellent. I stayed at executive room and they provide me a nice panorama view which i have seen beach, room is very comfortable and upon check in they have provide me welcome herb drink which very nice!! Breakfast was provide so varity and sure we have enjoy it. We also try the pub infront of hotel Tavern by the sea dinner taste very good. Their staff very even i didn't ask for their help. Hotel located in town very convenience and there are local shuttle which can take us to everywhere.--- totally wonderful stay",Yuyee เ,?.?.-14,5,,Friends,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-1168,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Just came back from here and what can I say. Just as last year I stayed here, ill he coming back again. A good hotel always makes your holiday that much more enjoyable and this one does exactly that. Beautifully laid out, clean, friendly and helpfull staff, great food and more. This hotel is where you need to stay if you want total assurance that you will feel relaxed and stress free. I cannot recommend this place enough for people thinking of travelling to thailand. The location is great. Not too far from walking street and other places but its also perfectlly far away enough for you to get a peaceful nights sleep. The room I stayed in was the ocean view in the ocean tower section. Let me tell you these rooms will probably be better than your own at home! Trust me on this one, come here and you will not regret it :)",jack D,?.?.-14,5,"Sunderland, United Kingdom",null,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,null
1646395386-903,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"We have been very fortunate to have stayed many times over the years at the Amari Pattaya where we have always enjoyed a wonderful stay including our most recent one in November/December.  The staff are all amazing, extremely caring and offer great service.  We would like to wish Deborah and her staff all the best during these exceptional circumstances and we will definitely be on the first plane out to see you again whenever this is possible.  Thank you  Brian and Janette",Jan B,?.?.-19,5,"Scotland, United Kingdom",null,5-Rooms,5-Service,5-Sleep Quality,null,null,null
1646395386-1171,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"I travel Asia on business on a regular basis, staying at 5 star hotels, i recently had the pleasure to stay at the Amari Hotel in Pattaya.
I found the Hotel great in all aspects of service, when I visit Pattaya again, i will defently stay at the Amari Ocean again
Mike Edwards",672michael,??.?.-14,5,"Brisbane, Australia",Business,5-Value,4-Rooms,3-Location,5-Cleanliness,5-Service,5-Sleep Quality
1646395386-1039,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Stayed here for a week as part of golf Asia tours , a very nice hotel and facilities, although quite large and due for renovations on the garden wing soon, staff are always great , was upgraded to room 700 with panoramic views , location on beach road helps.",Henry D,??.?.-17,5,"Geraldton, Australia",Friends,null,null,null,null,null,null
1646395386-1003,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,We got upgraded from Amari Garden to Amari Ocean. The room was first class. Great Buffet breakfast. They have put great effort in maintaining their standards. Great ambiance. Neat service. Good property.,vj87bharat,?.?.-17,5,,Couple,5-Value,5-Rooms,4-Location,4-Cleanliness,5-Service,5-Sleep Quality
1646395386-1107,https://www.tripadvisor.com/Hotel_Review-g293919-d6390812-Reviews-Amari_Pattaya-Pattaya_Chonburi_Province.html,"Just done eleven nights here. Clean, good food, comfortable rooms, lovely staff who could not be 
more helpful. Easy to get out and about from here and the seafront is literally across the road. Loved it.",Vectra22,??.?.-16,5,"Larkfield, United Kingdom",Couple,null,null,null,null,null,null
