web-scraper-order,web-scraper-start-url,comment,user,Experience time,score,location,Triptype,score1,score2,score3,score4,score5,score6,,
1643535515-961,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,It was a great experience after all but your Housekeeping staff need to be improved! Teach them a basic courtesy to knock and wait before entering immediately. The live band at cafe was great but the singing was not so...,snowwhitemee,Date of stay: March 2018,4,"Singapore, Singapore ",Trip type: Traveled as a couple,4-Value,4-Rooms,4-Location,4-Cleanliness,3-Service,3-Sleep Quality,,
1643535515-1336,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"I have stayed in Hard Rock, Chicago, and felt a little claustrophobic. No such problems of space here. It's well-sprawled out, standing out majestically overlooking the Gulf of Thailand. Check-in staff - like everyone else, everywhere else in Thailand - are polite. But the process takes time.A Very large amount of time. In contrast out Marriott check-in in Bangkok took under 10 min. The rooms are good, clean, comfortable, though you'd be disappointed by the tv offerings. One good thing is that there is a good CD/USB player in each room, and the set rocks. The pool is huge, the gym good, the steam/sauna facilities nice., and the breakfast, ok (I saw only Pork, pork and more pork all three days for breakfast. No chicken, no fish). The air-conditioning can get a little cranky, and we are told this is because of a renovation going on. Oh yes, they need to definitely find someone better to supply their match sticks. The quality they have sucks.",RKR911,Date of stay: April 2014,4,"Chennai (Madras), India",Trip type: Traveled with friends,4-Value,4-Rooms,5-Location,4-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1177,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"There was good service. and i felt comfortable and clean~~~~
but hair dryer wasn't in the room so it was not good for me.
but mostly service was good. and maybe next time i will go there again. Thanks",haryunc,Date of stay: March 2017,4,Seoul ,Trip type: Traveled as a couple,5-Value,4-Rooms,5-Location,5-Cleanliness,4-Service,5-Sleep Quality,,
1643535515-885,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Kids like foam party. Swimming Pool Staff at the pool care and  friendly
The rooms are clean, the staff clean are smiling. Parking is too small.        
Want to add activity in the pool.         
Room only rates are reasonable 2,700 THB",นุ่น,Date of stay: May 2018,5,"Nonthaburi, Thailand ",Trip type: Traveled with family,3-Value,5-Rooms,4-Location,5-Cleanliness,5-Service,4-Sleep Quality,,
1643535515-774,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,The staff is very friendly and helpful. The hotel is very good maintained and compared to its age still in a very good shape. Improvements could be done to the TV equipment. The location is excellent and nevertheless very quiet. Very positive for me was that the air condition of the room could even be kept switched off over night. The cooled lobby and floors make it very comfortable and enjoyable when entering the hotel. There's also a good smell in the air.,Guide67469586637,Date of stay: May 2019,4, ,Trip type: Traveled solo,4-Value,4-Rooms,5-Location,4-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-788,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"We recently stayed here as a family of 8 using 4 rooms, we were given sea view even thou we only booked city view so was a nice little extra. We as a family couldn’t fault anything we all loved the place, the pool staff are absolute brilliant and a true credit to hard rock Pattaya. We made some great friends here and hope to see them again when visiting next time. If I could give one suggestion it would be that all rooms have balcony’s but this didn’t ruin my stay at all its just something I personally like to have. Thanks again for a brilliant holiday",Callum Ashby,Date of stay: April 2019,5,"Warwickshire, United Kingdom",Trip type: Traveled with family,null,null,null,null,null,null,,
1643535515-996,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Had great stay with big rooms and enjoyable pool
Gym and Steam room are a must 
Had breakfast twice at 350 bht, Has plenty of choices and friendly staff 
Nice location on beach road and has entry on both sides",290michael,Date of stay: May 2017,4,"Melbourne, Australia",Trip type: Traveled with friends,3-Value,4-Rooms,5-Location,4-Cleanliness,4-Service,5-Sleep Quality,,
1643535515-1100,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"the reception and wait staff are exceptional!    We enjoyed our stay;  the first time either of us has stayed at a HRH.  love the food and the theme party around the pool was a blast!  
would recommend this hotel to anyone going to Pattaya Thailand.  
the music alone (rock) for breakfast buffet makes it memorable.",johnnicholasp2017,Date of stay: April 2017,5,"Amarillo, Texas",Trip type: Traveled as a couple,5-Value,4-Rooms,5-Location,4-Cleanliness,5-Service,4-Sleep Quality,,
1643535515-1101,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Overall travel so-so, and five days, only the first day go to the playground, the next day in the hotel's swimming pool, so too has no meaning, more attractions or island beach project will be better, some members are all in to take off the ball at one's own expenses to go to scenic spots, this will cause the problem of word of mouth company.",baoyingw2017,Date of stay: April 2017,3,Guizhou ,Trip type: Traveled with family,4-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1381,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Spent a couple of days in Pattaya, staying at the Hard Rock Hotel. I would definetly recommend this hotel for all age groups. The hotel staff are extremely helpful and service is excellant. The rooms are really spacious and cleaned up to scratch everyday. The position of the hotel is very well located with the sea front located  across the road the hotel. There is easy access to taxi and there is a shopping mall just down the road. Thank you Hard Rock for adding that extra something to my holiday.",BigMacCy,Date of stay: March 2013,5,"Larnaca, Cyprus",Trip type: Traveled with friends,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1097,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Great hotel to stay if u want to stay at an extravagant place - the decor & rooms are all thematic and great fun to experience.
Hotel facilities, incl. breakfast, lounges & restaurants and pool are great.
Hotel has direct access to beach.",Syed Zubair Bin Saeed,Date of stay: January 2017,5,"Karachi, Pakistan",Trip type: Traveled with friends,4-Value,5-Rooms,4-Service,null,null,null,,
1643535515-1205,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"its a family hotel
they make u feel like stars actually
lovely pool for kids and for adults in foam party only on saturdays for 20+
the staff is amazing...speacial thanks to
the lovely lady ms caroline she was very humble, supportive ,kind and ofcourse beautiful and more over concerned.
the location is perfect of the hotel
if u r with ur family u dont have any other choice... it has to be Hard rock pattya.
my suggestion to hotel is they should be not promoting thiet own tours only.
they should have a travel desk seperately
and i found taxi prices very expensive inside the hotel then just outside the hotel...
onething more hotel should provide or promote meter taxi instead of promoting fix rate taxis...
only travel part was very bad
rest nothing can be improved... its awsome",Kapil mehta,Date of stay: May 2016,5,"Phuket, Thailand",Trip type: Traveled as a couple,null,null,null,null,null,null,,
1643535515-1445,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"The name says it all. The staff is fabulous coupled with the ambience of the lobby, the lounge and the rooms. Your ears are filled with nice rocking music venever you are out. The perfect view of the beach and all those not outgoing types, the huge thematic swimming pool is the icing on the cake. Last but not the least is the gr8 room service and the cuisines offered.",Sabby_delhi,Date of stay: March 2010,5,Delhi,Trip type: Traveled with family,4-Value,5-Rooms,4-Location,4-Cleanliness,4-Service,5-Sleep Quality,,
1643535515-1350,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"I spent a week in family in this hotel and really appreciated it. The room rate booked via internet was good and we had the surprise to be upgraded when we arrived.
The 9 and 10th floors have a nice view even though not all rooms have a balcony.
It also gives access to a separated breakfast / snack room on the 9th floor which limits a lot the crowd and noise.
The personnel is very helpful and the trattoria is excellent for a reasonable cost (more or less the same as all other restaurant over the beach). The best is the swimming pool which is perfect for kids with one side arranged as a sandy beach with rocks and slides. Super playground for kids.
I want to thank the team for the great support in organizing short trips around sometimes with nearly no plan and also the kindness towards the kids.",Jean-MarcS,Date of stay: February 2014,4,"Gourdan-Polignan, France",Trip type: Traveled with family,4-Value,3-Rooms,4-Location,4-Cleanliness,4-Service,4-Sleep Quality,,
1643535515-1129,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"The hotel location is fantastic; Close to all the action but far enough away to chill and have fun. We only spent 2 nights in this property over the weekend to escape the hustle and bustle of Bangkok. If travelling with kids this hotel has lots to do with fantastic activities, and great swimming pool for both adults and children. Our daughter particularly enjoyed the Foam Party on Saturday afternoon, and kids performance on Saturday night. Thank you Hard Rock Hotel Pattaya for a fantastic weekend....We Will be Back!!",Traveller_bkk32,Date of stay: March 2017,4,"Bangkok, Thailand",Trip type: Traveled with family,4-Value,4-Rooms,5-Location,4-Cleanliness,4-Service,4-Sleep Quality,,
1643535515-891,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,Our overall stay was fabulous. The pools offered everything we needed to have an enjoyable family getaway. The staff was friendly from the moment we were greeted to the moment we said goodbye. I would recommend this hotel and its facilities to all types of travelers from couples to families.,RoamingAsia,Date of stay: May 2018,5,,Trip type: Traveled with family,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1090,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,Pool was modified successful. Fitness room still good. Complete HRH resp. HRC Team very friendly and helpful. Good pool action for kids. Kids pool was modified very well. SPA little bit expensive. Breakfast very good -asian/international style-.,Andreas Z,Date of stay: April 2017,5,Delingsdorf ,Trip type: Traveled with family,4-Value,4-Rooms,5-Location,5-Cleanliness,5-Service,4-Sleep Quality,,
1643535515-1103,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,Pro:Quite good experience. Room clean service is good and breakfast is good. Con:But we can hear the noise from the next room. And life buoy near the swimming pool is not free. It's a little surprising.,jiaqis2017,Date of stay: April 2017,4,Shanghai ,Trip type: Traveled with friends,5-Value,4-Rooms,4-Location,5-Cleanliness,5-Service,3-Sleep Quality,,
1643535515-1286,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Nice staffs . 
Room was clean . Swimming pool was attractive .
Dinner and breakfast were all outstanding !",Erica,Date of stay: April 2015,5,"Nelson, New Zealand",Trip type: Traveled with friends,5-Location,5-Service,5-Sleep Quality,null,null,null,,
1643535515-1379,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Was not too happy with this hotel the first thing was the man who bought luggage up brought us a map but then told us any tours ring him he organise his friends to take us not too keeen on this i liked destination asia trips booked and no problems with shifty people.
When we first checked in room with balcony do not reccomend room is tiny lights broken had to call down to be fixed we both took a shower the next morning and the bathroom flooded had to be moved to another room without a balcony much bigger room. so if you stay get rrom without balcony was honeymoon only honeymoon thing was a plate of choc dipped strawberries.
There are lots of activities going on for people with kids and a nice pool. 
I got sick after eating in there restaurant (starz diner) only thing i ate for 5 days that hubby didnt have same or try and i got really sick so avoid fish. Condoms in the minbar were a little tacky if you have kids. THe hotel othere than getting sick wasnt too bad supplied umbrellas and it pelted down one day i didnt mind hotel but better value for money elsewhere quite far away from everything. Also i just didnt like pattaya quite dirty walking hand in hand with hubby and massage lady's giving sign for hand job not very nice. But plenty of massage places everywhere plenty of old men with young attractive thai girlfiends if this is waht you want go to pattaya but i wouldnt reccomend staying here hilton looked much nicer and closer to shopping cntres restaurants walking street.",Danielle J,Date of stay: January 2013,3,"Melbourne, Australia",Trip type: Traveled as a couple,2-Value,2-Rooms,1-Location,3-Cleanliness,2-Service,3-Sleep Quality,,
1643535515-1188,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Big room with balcony and view+all the amenities you would expect. The staff is very friendly and helpful, especially reception when you check in. Excellent swimming pool, including one for children. Buffet breakfast has everything you could possibly want. Koobai at the travel desk will answer all your questions and make any bookings you want.
My 4th Hard Rock Hotel and one of the best. You will no be disappointed",TravelinAlan,Date of stay: March 2017,5,"Los Angeles, California",Trip type: Traveled solo,5-Value,5-Rooms,5-Service,null,null,null,,
1643535515-956,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"This trip is our third time here. Everything still good, all staff are very friendly. Facilities and Room are goods. And very delicious food. Very surprise with fruit in the room for all of rooms that i've booked.",Hong_Chiprakit,Date of stay: March 2018,5,"Bangkok, Thailand ",Trip type: Traveled with family,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1417,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Nothing wrong with the place, clean, central, safe, huge, great pool, top breakfast.
I thought it was expensive though, and I thought that it really had no thai character. Not my cup of tea really. I scored this average because of my taste which prefers everything traditional, which is obviously personal, and because of the high price.",canerandagio,Date of stay: June 2011,3,"Bangkok, Thailand",Trip type: Traveled with friends,2-Value,5-Rooms,4-Location,5-Cleanliness,4-Service,5-Sleep Quality,,
1643535515-767,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"the room is very organised and clean and the food was amazing so was the staff,last time i went was 2014 and i went there before a lot of times. the location is amazing, the sea is right in front of us.",mohamed shobeir,Date of stay: June 2018,5,"Cairo, Egypt",null,null,null,null,null,null,null,,
1643535515-1075,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"It is a basic hotel with smelly rooms, inhospitable rude staff who doesn't want to help or assist. A dirty, smelly room was given upon checkin, room was changed after putting our foot down but apology extended. If you want to stay for foam party and a nice pool then it's fine otherwise stay away from his motel.",Saty0107,Date of stay: April 2017,2,"Bangkok, Thailand",Trip type: Traveled with family,2-Value,2-Rooms,4-Location,1-Cleanliness,1-Service,3-Sleep Quality,,
1643535515-1064,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"The swimming pool is big and it is good for family who's travelling with kids. The receptionist from taiwan really rock my stay. However, while i was taking a rest in the room, one housekeeping staff came in to my room without ringing the door bell and knock the door.",673yuw,Date of stay: April 2017,4,"Shanghai, China ",Trip type: Traveled solo,5-Value,5-Rooms,5-Location,5-Cleanliness,4-Service,5-Sleep Quality,,
1643535515-790,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Hard rock pattaya is still the best in its way. Lots of fun stuffs to do loads of good food to eat. Hard rock cafe’s burgers are second to none. You can rest here, play here, eat here. Makes you feel like a rock star.",KiddyBo,Date of stay: May 2019,5,"Bangkok, Thailand ",Trip type: Traveled as a couple,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,3-Sleep Quality,,
1643535515-1388,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"The staffs are very helpful, friendly, and professional. 
The moment one step into the lounge, smiling faces greet you. Sincere smiles.
Throughout the evening they make sure your needs are met and things are okay for you.
Even an hour of stay make one really feel great and relaxed.",Hokian,Date of stay: March 2013,5,"Singapore River, Singapore ",Trip type: Traveled on business,null,null,null,null,null,null,,
1643535515-912,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,We go to hard rock cafè's when ever we can. But this was the first time we had stayed in one of the hotels and really wished we hadnt. Maybe our expectations where unrealistic but the hotel didnt come anywere near what we thought. We only stayed here 1 night but that was more than enough. The lifts were filthy and our room stank like old loft blankets. Musty and stale. Just not nice. Luckly we had reservations elsewhere so didnt chance the food. The sad thing is this place has kinda put us off the hotels. Shame.,chazghost,Date of stay: April 2018,2,"London, United Kingdom",Trip type: Traveled as a couple,null,null,null,null,null,null,,
1643535515-976,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Rooms are clean.
Location is quite convenient.
All the staff are helpful.
I love the swimming Pool.
The breakfast are delicious.
Me and my girlfriend had a 
Great experience in spent 2 night in this hotel.
We definitely will come back again.",chichungn2017,Date of stay: May 2017,5,"Hong Kong, China ",Trip type: Traveled as a couple,5-Value,5-Rooms,4-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-872,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Hotel location is very good near the beach road. Nice pool. Room was clean. Helpful staff. Breakfast was excellent lot of everything (bread, eggs, fruits, juices, ham,cheese... ).There is  restaurant too (very good pizza).",Saatana666,Date of stay: December 2017,5,"Helsinki, Finland ",Trip type: Traveled solo,4-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1044,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"I will be back as soon as possible :-)
Everything is just perfect and the staff is making you feel like a true rockstar...
Pool area is nothing else than fantastic and just a short walk to the beach....",Michael T,Date of stay: April 2017,5,"Copenhagen, Denmark ",Trip type: Traveled on business,5-Value,4-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-820,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"it was amazing for children, parent  and teenagers
If you need to partying and having fun you must come to hard rock pattaya. 
All staff are friendly & always smile. You can join many activities at swimming pool all day.",aoms,Date of stay: April 2019,5,"Bangkok, Thailand ",Trip type: Traveled as a couple,5-Value,5-Rooms,5-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1130,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,Good service and musical entertainment. Recomends for people who love to enjoy a moderate noice level. There vas no noice from unexpected visitors. A good security is taken care of the guests wallfare.,nilsolavo,Date of stay: March 2017,4,Oslo ,Trip type: Traveled as a couple,4-Value,4-Rooms,4-Location,5-Cleanliness,5-Service,5-Sleep Quality,,
1643535515-1004,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"Came away for the weekend with a large group from Bangkok and we had the best time. The hotel has plenty to offer so you don't even need to leave if you're here for a short stay. The rooms and lounge access were brilliant, there is a huge swimming pool with plenty of activities going on and the restaurants all serve great food... the breakfast buffet is huge! The staff were fabulous throughout our stay - thank you!",Lindsay,Date of stay: May 2017,5,"Bangkok, Thailand",null,null,null,null,null,null,null,,
1643535515-1197,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"fantastic property, nice location with access to both beach road and 2nd road, great breakfast, spacious and great rooms, best pool side. staff was very friendly and pampered us. we got early check in. most of the rooms have sea views. many international restaurants nearby.",Amit Pathak,Date of stay: March 2017,5,"Prague, Czech Republic ",Trip type: Traveled with family,null,null,null,null,null,null,,
1643535515-1185,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,#NAME?,murilym2017,Date of stay: March 2017,5,Kuala Lumphur ,Trip type: Traveled on business,4-Value,4-Rooms,5-Location,4-Cleanliness,4-Service,5-Sleep Quality,,
1643535515-1104,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,We spent three days and our 4 year old daughter spent most of each day in the pool. The beach/sand area is very good for children learning to swim. We had several meals at the hotel and enjoyed the food.,trm99,Date of stay: April 2017,5,"Bangkok, Thailand ",Trip type: Traveled with family,4-Value,4-Rooms,4-Location,4-Cleanliness,5-Service,4-Sleep Quality,,
1643535515-1062,https://www.tripadvisor.com/Hotel_Review-g293919-d302348-Reviews-Hard_Rock_Hotel_Pattaya-Pattaya_Chonburi_Province.html,"I have stayed in other hard rock hotels too.
Hard Rock Pataya deserves only 4 star.
Food is nice but breakfast in rock royalty not worth it at all. 
You can book the rock royalty excess room provided you drink alcohol drinks which is provided during the cocktail hours. Breakfast at stars dinner  have slightly better choices but not many.
Coustomer service is ok.... 
In terms of location in pataya hard room is situated in one of best locations. 
Overall i really enjoyed my stay and i am sure to be there for my next visit to Pataya.  Thanks guys.",Gunasegaran_28,Date of stay: April 2017,4,,Trip type: Traveled with family,null,null,null,null,null,null,,
